Data Import Template,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table:,Lead,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,
Please do not change the template headings.,,,,,,,,,,,,,,,,,,,,,,,,,,,
First data column must be blank.,,,,,,,,,,,,,,,,,,,,,,,,,,,
Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish.,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For updating, you can update only selective columns.",,,,,,,,,,,,,,,,,,,,,,,,,,,
"If you are uploading new records, leave the ""name"" (ID) column blank.",,,,,,,,,,,,,,,,,,,,,,,,,,,
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present.",,,,,,,,,,,,,,,,,,,,,,,,,,,
You can only upload upto 5000 records in one go. (may be less in some cases),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Column Labels,ID,Contact Name,Status,Naming Series,Company Name,Email Id,Source,From Customer,Campaign Name,Remark,Phone,Mobile No.,Fax,Website,Territory,Lead Type,Lead Owner,Market Segment,Industry,Request Type,Lost Reason,Next Contact By,Next Contact Date,Last Contact Date,Company,Unsubscribed,Blog Subscriber
Column Name:,name,lead_name,status,naming_series,company_name,email_id,source,customer,campaign_name,remark,phone,mobile_no,fax,website,territory,type,lead_owner,market_segment,industry,request_type,order_lost_reason,contact_by,contact_date,last_contact_date,company,unsubscribed,blog_subscriber
Mandatory:,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Type:,Data (text),Data,Select,Select,Data,Data,Select,Link,Link,Small Text,Data,Data,Data,Data,Link,Select,Link,Select,Link,Select,Link,Link,Date,Date,Link,Check,Check
Info:,,,"One of: Open, Replied, Attempted to Contact, Contact in Future, Contacted, Interested, Not interested, Lead Lost, Converted","One of: LEAD, LEAD/10-11/, LEAD/MUMBAI/",,,"One of: Advertisement, Blog Post, Campaign, Call, Customer, Exhibition, Supplier, Website, Email",Valid Customer,Valid Campaign,,,,,,Valid Territory,"One of: Client, Channel Partner, Consultant",Valid Profile,"One of: Lower Income, Middle Income, Upper Income",Valid Industry Type,"One of: Product Enquiry, Request for Information, Suggestions, Other",Valid Quotation Lost Reason,Valid Profile,,,Valid Company,0 or 1,0 or 1
Start entering data below this line,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mart Lakeman,Passive,,,,,,,,,,,,,,,,,,,,,,,,
,,Saga Lundqvist,Passive,,,,,,,,,,,,,,,,,,,,,,,,
,,Adna Sjöberg,Passive,,,,,,,,,,,,,,,,,,,,,,,,
,,Ida Svendsen,Passive,,,,,,,,,,,,,,,,,,,,,,,,
,,Emppu Hämeenniemi,Passive,,,,,,,,,,,,,,,,,,,,,,,,
,,Eugenio Pisano,Passive,,,,,,,,,,,,,,,,,,,,,,,,
,,Semhar Hagos,Passive,,,,,,,,,,,,,,,,,,,,,,,,
,,Branimira Ivanković,Passive,,,,,,,,,,,,,,,,,,,,,,,,
,,Shelly Fields,Passive,,,,,,,,,,,,,,,,,,,,,,,,
,,Leo Mikulić,Passive,,,,,,,,,,,,,,,,,,,,,,,,
,,Denisa Jarošová,Passive,,,,,,,,,,,,,,,,,,,,,,,,
,,Janek Rutkowski,Passive,,,,,,,,,,,,,,,,,,,,,,,,
,,美月 宇藤,Passive,,,,,,,,,,,,,,,,,,,,,,,,
,,Даниил Афанасьев,Passive,,,,,,,,,,,,,,,,,,,,,,,,
,,Zorislav Petković,Passive,,,,,,,,,,,,,,,,,,,,,,,,
,,Nanao Niwa,Passive,,,,,,,,,,,,,,,,,,,,,,,,
,,Hreiðar Jörundsson,Passive,,,,,,,,,,,,,,,,,,,,,,,,
,,Lai Chu,Passive,,,,,,,,,,,,,,,,,,,,,,,,
,,Victor Aksakov,Passive,,,,,,,,,,,,,,,,,,,,,,,,
,,Saidalim Bisliev,Passive,,,,,,,,,,,,,,,,,,,,,,,,
,,Totte Jakobsson,Passive,,,,,,,,,,,,,,,,,,,,,,,,
,,Naná Armas,Passive,,,,,,,,,,,,,,,,,,,,,,,,
,,Walerian Duda,Passive,,,,,,,,,,,,,,,,,,,,,,,,
,,Moarimikashi ,Passive,,,,,,,,,,,,,,,,,,,,,,,,
,,Dobromił Dąbrowski ,Passive,,,,,,,,,,,,,,,,,,,,,,,,
,,Teigan Sinclair,Passive,,,,,,,,,,,,,,,,,,,,,,,,
,,Fahad Guirguis,Passive,,,,,,,,,,,,,,,,,,,,,,,,
,,Morten Olsen,Passive,,,,,,,,,,,,,,,,,,,,,,,,
,,Christian Baecker,Passive,,,,,,,,,,,,,,,,,,,,,,,,
,,Sebastianus Dohmen,Passive,,,,,,,,,,,,,,,,,,,,,,,,
,,Eero Koskinen,Passive,,,,,,,,,,,,,,,,,,,,,,,,
,,富奎 盧,Passive,,,,,,,,,,,,,,,,,,,,,,,,
,,Milica Jelić,Passive,,,,,,,,,,,,,,,,,,,,,,,,
,,Barbora Holubová,Passive,,,,,,,,,,,,,,,,,,,,,,,,
,,Marta Kos,Passive,,,,,,,,,,,,,,,,,,,,,,,,
,,Simret Zula,Passive,,,,,,,,,,,,,,,,,,,,,,,,
,,Kamil Chlubna,Passive,,,,,,,,,,,,,,,,,,,,,,,,
,,Aceline Bolduc,Passive,,,,,,,,,,,,,,,,,,,,,,,,
,,Lucie Stupková,Passive,,,,,,,,,,,,,,,,,,,,,,,,
,,Roland Solvik,Passive,,,,,,,,,,,,,,,,,,,,,,,,
,,Mekirinzukushitakufu ,Passive,,,,,,,,,,,,,,,,,,,,,,,,
,,Mukharbek Sultanovich,Passive,,,,,,,,,,,,,,,,,,,,,,,,
,,Osman Amanuel,Passive,,,,,,,,,,,,,,,,,,,,,,,,
,,幸子 阪部,Passive,,,,,,,,,,,,,,,,,,,,,,,,
,,Masakazu Kamitani,Passive,,,,,,,,,,,,,,,,,,,,,,,,
,,Omran Sabbagh,Passive,,,,,,,,,,,,,,,,,,,,,,,,
,,Rikako Matsumura,Passive,,,,,,,,,,,,,,,,,,,,,,,,
,,Anayolisa Chukwukadibia,Passive,,,,,,,,,,,,,,,,,,,,,,,,
,,Gudmunda Hinna,Passive,,,,,,,,,,,,,,,,,,,,,,,,
