"""Customer Provided Item"" cannot be Purchase Item also","""Vom Kunden beigestellter Artikel"" kann nicht gleichzeitig ""Einkaufsartikel"" sein",
"""Customer Provided Item"" cannot have Valuation Rate","""Customer Provided Item"" kann eine Bewertung haben.",
"""Is Fixed Asset"" cannot be unchecked, as Asset record exists against the item","""Ist Anlagevermögen"" kann nicht deaktiviert werden, da Anlagebuchung gegen den Artikel vorhanden",
'Based On' and 'Group By' can not be same,"""basierend auf"" und ""guppiert nach"" können nicht gleich sein",
'Days Since Last Order' must be greater than or equal to zero,"""Tage seit dem letzten Auftrag"" muss größer oder gleich Null sein",
'Entries' cannot be empty,"""Buchungen"" kann nicht leer sein",
'From Date' is required,"""Von-Datum"" ist erforderlich",
'From Date' must be after 'To Date',"""Von-Datum"" muss nach ""Bis-Datum"" liegen",
'Has Serial No' can not be 'Yes' for non-stock item,"""Hat Seriennummer"" kann bei Nicht-Lagerartikeln nicht ""Ja"" sein",
'Opening',"""Eröffnung""",
'To Case No.' cannot be less than 'From Case No.',"""Bis Fall Nr."" kann nicht kleiner als ""Von Fall Nr."" sein",
'To Date' is required,"""Bis-Datum"" ist erforderlich,",
'Total','Gesamtbetrag',
'Update Stock' can not be checked because items are not delivered via {0},"""Lager aktualisieren"" kann nicht ausgewählt werden, da Artikel nicht über {0} geliefert wurden",
'Update Stock' cannot be checked for fixed asset sale,Beim Verkauf von Anlagevermögen darf 'Lagerbestand aktualisieren' nicht ausgewählt sein.,
1 exact match.,1 genaue Übereinstimmung.,
90-Above,Über 90,
A Customer Group exists with same name please change the Customer name or rename the Customer Group,Eine Kundengruppe mit dem gleichen Namen existiert bereits. Bitte den Kundennamen ändern oder die Kundengruppe umbenennen,
A Default Service Level Agreement already exists.,Eine Standard-Service-Level-Vereinbarung ist bereits vorhanden.,
A Lead requires either a person's name or an organization's name,Ein Lead benötigt entweder den Namen einer Person oder den Namen einer Organisation,
A customer with the same name already exists,Ein Kunde mit demselben Namen existiert bereits,
A question must have more than one options,Eine Frage muss mehr als eine Option haben,
A qustion must have at least one correct options,Eine Frage muss mindestens eine richtige Option haben,
A4,A4,
API Endpoint,API-Endpunkt,
API Key,API-Schlüssel,
Abbr can not be blank or space,"""Abbr"" kann nicht leer oder Space sein",
Abbreviation already used for another company,Abkürzung bereits für ein anderes Unternehmen verwendet,
Abbreviation cannot have more than 5 characters,Abkürzung darf nicht länger als 5 Zeichen sein,
Abbreviation is mandatory,Abkürzung ist zwingend erforderlich,
About the Company,Über das Unternehmen,
About your company,Über das Unternehmen,
Above,Über,
Academic Term,Semester,
Academic Term: ,Akademisches Semester:,
Academic Year,Schuljahr,
Academic Year: ,Akademisches Jahr:,
Accepted + Rejected Qty must be equal to Received quantity for Item {0},Akzeptierte + abgelehnte Menge muss für diese Position {0} gleich der erhaltenen Menge sein,
Access Token,Zugriffstoken,
Accessable Value,Zugänglicher Wert,
Account,Konto,
Account Number,Kontonummer,
Account Number {0} already used in account {1},Die Kontonummer {0} wurde bereits im Konto {1} verwendet.,
Account Pay Only,Reines Zahlungskonto,
Account Type,Kontentyp,
Account Type for {0} must be {1},Accounttyp für {0} muss {1} sein,
"Account balance already in Credit, you are not allowed to set 'Balance Must Be' as 'Debit'","Konto bereits im Haben, es ist nicht mehr möglich das Konto als Sollkonto festzulegen",
"Account balance already in Debit, you are not allowed to set 'Balance Must Be' as 'Credit'","Konto bereits im Soll, es ist nicht mehr möglich das Konto als Habenkonto festzulegen",
Account number for account {0} is not available.<br> Please setup your Chart of Accounts correctly.,Kontonummer für Konto {0} ist nicht verfügbar. <br> Bitte richten Sie Ihren Kontenplan korrekt ein.,
Account with child nodes cannot be converted to ledger,Ein Konto mit Unterknoten kann nicht in ein Kontoblatt umgewandelt werden,
Account with child nodes cannot be set as ledger,Konto mit untergeordneten Knoten kann nicht als Hauptbuch festgelegt werden,
Account with existing transaction can not be converted to group.,Ein Konto mit bestehenden Transaktionen kann nicht in eine Gruppe umgewandelt werden,
Account with existing transaction can not be deleted,Ein Konto mit bestehenden Transaktionen kann nicht gelöscht werden,
Account with existing transaction cannot be converted to ledger,Ein Konto mit bestehenden Transaktionen kann nicht in ein Kontoblatt umgewandelt werden,
Account {0} does not belong to company: {1},Konto {0} gehört nicht zu Unternehmen {1},
Account {0} does not belongs to company {1},Konto {0} gehört nicht zu Unternehmen {1},
Account {0} does not exist,Konto {0} existiert nicht,
Account {0} does not exists,Konto {0} existiert nicht,
Account {0} does not match with Company {1} in Mode of Account: {2},Konto {0} stimmt nicht mit Unternehmen {1} im Rechnungsmodus überein: {2},
Account {0} has been entered multiple times,Konto {0} wurde mehrmals eingegeben,
Account {0} is added in the child company {1},Konto {0} wurde in der untergeordneten Firma {1} hinzugefügt,
Account {0} is frozen,Konto {0} ist gesperrt,
Account {0} is invalid. Account Currency must be {1},Konto {0} ist ungültig. Kontenwährung muss {1} sein,
Account {0}: Parent account {1} can not be a ledger,Konto {0}: Übergeordnetes Konto {1} kann kein Kontenblatt sein,
Account {0}: Parent account {1} does not belong to company: {2},Konto {0}: Kontogruppe {1} gehört nicht zu Unternehmen {2},
Account {0}: Parent account {1} does not exist,Konto {0}: Hauptkonto {1} existiert nicht,
Account {0}: You can not assign itself as parent account,Konto {0}: Sie können dieses Konto sich selbst nicht als Über-Konto zuweisen,
Account: {0} can only be updated via Stock Transactions,Konto: {0} kann nur über Lagertransaktionen aktualisiert werden,
Account: {0} with currency: {1} can not be selected,Konto: {0} mit Währung: {1} kann nicht ausgewählt werden,
Accountant,Buchhalter,
Accounting,Buchhaltung,
Accounting Entry for Asset,Buchungseintrag für Vermögenswert,
Accounting Entry for Stock,Lagerbuchung,
Accounting Entry for {0}: {1} can only be made in currency: {2},Eine Buchung für {0}: {1} kann nur in der Währung: {2} vorgenommen werden,
Accounting Ledger,Hauptbuch,
Accounting journal entries.,Buchungssätze,
Accounts,Rechnungswesen,
Accounts Manager,Kontenmanager,
Accounts Payable,Verbindlichkeiten,
Accounts Payable Summary,Übersicht der Verbindlichkeiten,
Accounts Receivable,Forderungen,
Accounts Receivable Summary,Übersicht der Forderungen,
Accounts User,Rechnungswesen Benutzer,
Accounts table cannot be blank.,Kontenliste darf nicht leer sein.,
Accumulated Depreciation,Kumulierte Abschreibungen,
Accumulated Depreciation Amount,Aufgelaufener Abschreibungsbetrag,
Accumulated Depreciation as on,Kumulierte Abschreibungen auf,
Accumulated Monthly,Monatlich akkumuliert,
Accumulated Values,Kumulierte Werte,
Accumulated Values in Group Company,Kumulierte Werte in der Konzerngesellschaft,
Achieved ({}),Erreicht ({}),
Action,Aktion,
Action Initialised,Aktion initialisiert,
Actions,Aktionen,
Active,Aktiv,
Activity Cost exists for Employee {0} against Activity Type - {1},Aktivitätskosten bestehen für Arbeitnehmer {0} zur Aktivitätsart {1},
Activity Cost per Employee,Aktivitätskosten je Mitarbeiter,
Activity Type,Aktivitätsart,
Actual Cost,Tatsächliche Kosten,
Actual Delivery Date,Tatsächliches Lieferdatum,
Actual Qty,Tatsächliche Anzahl,
Actual Qty is mandatory,Die tatsächliche Menge ist zwingend erforderlich,
