"""Customer Provided Item"" cannot be Purchase Item also","„Клиент, предоставен от клиента“ също не може да бъде артикул за покупка",
"""Customer Provided Item"" cannot have Valuation Rate","„Предмет, предоставен от клиента“ не може да има процент на оценка",
"""Is Fixed Asset"" cannot be unchecked, as Asset record exists against the item","""Е фиксиран актив"" не може да бъде размаркирано, докато съществува запис за елемента",
'Based On' and 'Group By' can not be same,"""Въз основа на"" и ""Групиране По"" не могат да бъдат еднакви",
'Days Since Last Order' must be greater than or equal to zero,"""Дни след последна поръчка"" трябва да бъдат по-големи или равни на нула",
'Entries' cannot be empty,&quot;Записи&quot; не могат да бъдат празни,
'From Date' is required,"""От дата"" е задължително",
'From Date' must be after 'To Date',"""От дата"" трябва да е преди ""До дата""",
'Has Serial No' can not be 'Yes' for non-stock item,'Има сериен номер' не може да бъде 'Да' за нескладируеми стоки,
'Opening',"""Начален баланс""",
'To Case No.' cannot be less than 'From Case No.',"""До Case No."" не може да бъде по-малко от ""От Case No.""",
'To Date' is required,"""До дата"" се изисква",
'Total',&#39;Обща сума&#39;,
'Update Stock' can not be checked because items are not delivered via {0},"""Обнови Наличност"" не може да е маркирана, защото артикулите, не са доставени чрез {0}",
'Update Stock' cannot be checked for fixed asset sale,"""Актуализация на склад"" не може да бъде избрано при продажба на активи",
) for {0},) за {0},
1 exact match.,1 точно съвпадение.,
90-Above,Над 90 -,
A Customer Group exists with same name please change the Customer name or rename the Customer Group,"Група Клиенти съществува със същото име. Моля, променете името на Клиента или преименувайте Група Клиенти",
A Default Service Level Agreement already exists.,Споразумение за ниво на услуга по подразбиране вече съществува.,
A Lead requires either a person's name or an organization's name,"Лидерът изисква или име на човек, или име на организация",
A customer with the same name already exists,Клиент със същото име вече съществува,
A question must have more than one options,Въпросът трябва да има повече от една възможност,
A qustion must have at least one correct options,А ргенирането трябва да има поне една правилна опция,
A {0} exists between {1} and {2} (,A {0} съществува между {1} и {2} (,
Abbr can not be blank or space,Съкращение не може да бъде празно или интервал,
Abbreviation already used for another company,Съкращение вече се използва за друга компания,
Abbreviation cannot have more than 5 characters,Съкращение не може да има повече от 5 символа,
Abbreviation is mandatory,Съкращението е задължително,
About the Company,За компанията,
About your company,За вашата компания,
Above,Горе,
Absent,Липсващ,
Academic Term,Академик Term,
Academic Term: ,Академичен термин:,
Academic Year,Академична година,
Academic Year: ,Академична година:,
Accepted + Rejected Qty must be equal to Received quantity for Item {0},Прието + Отхвърлено Количество трябва да бъде равно на Получено количество за {0},
Accessable Value,Достъпна стойност,
Account,Сметка,
Account Number,Номер на сметка,
Account Number {0} already used in account {1},"Номер на профила {0}, вече използван в профила {1}",
Account Pay Only,Сметка за плащане,
Account Type,Тип Сметка,
Account Type for {0} must be {1},Тип акаунт за {0} трябва да е {1},
"Account balance already in Credit, you are not allowed to set 'Balance Must Be' as 'Debit'",Баланса на сметката вече е в 'Кредит'. Не е позволено да задавате 'Балансът задължително трябва да бъде в Дебит',
