"""Customer Provided Item"" cannot be Purchase Item also",&quot;ग्राहक प्रदान केलेला आयटम&quot; देखील खरेदी आयटम असू शकत नाही,
"""Customer Provided Item"" cannot have Valuation Rate",&quot;ग्राहक प्रदान आयटम&quot; मध्ये मूल्य दर असू शकत नाही,
"""Is Fixed Asset"" cannot be unchecked, as Asset record exists against the item","&quot;मुदत मालमत्ता आहे&quot; मालमत्ता रेकॉर्ड आयटम विरुद्ध अस्तित्वात आहे म्हणून, अनचेक केले जाऊ शकत नाही",
'Based On' and 'Group By' can not be same,'आधारीत' आणि 'गट करून' समान असू शकत नाही,
'Days Since Last Order' must be greater than or equal to zero,&#39;गेल्या ऑर्डर असल्याने दिवस&#39; शून्य पेक्षा मोठे किंवा समान असणे आवश्यक आहे,
'Entries' cannot be empty,&#39;नोंदी&#39; रिकामे असू शकत नाही,
'From Date' is required,'तारीख पासून' आवश्यक आहे.,
'From Date' must be after 'To Date','तारीख पासून' नंतर 'तारखेपर्यंत' असणे आवश्यक आहे,
'Has Serial No' can not be 'Yes' for non-stock item,'नॉन-स्टॉक आयटम 'साठी अनुक्रमांक 'होय' असू शकत नाही.,
'Opening',&#39;उघडणे&#39;,
'To Case No.' cannot be less than 'From Case No.','प्रकरण क्रमांक' पेक्षा 'प्रकरण क्रमांक पासून' कमी असू शकत नाही,
'To Date' is required,'तारखेपर्यंत' आवश्यक आहे,
'Total',&#39;एकूण&#39;,
'Update Stock' can not be checked because items are not delivered via {0},' अद्यतन शेअर ' तपासणे शक्य नाही कारण आयटम द्वारे वितरीत नाही {0},
'Update Stock' cannot be checked for fixed asset sale,&#39;अद्यतन शेअर&#39; निश्चित मालमत्ता विक्री साठी तपासणे शक्य नाही,
) for {0},} साठी {0},
1 exact match.,1 अचूक सामना.,
90-Above,90-वर,
A Customer Group exists with same name please change the Customer name or rename the Customer Group,एक ग्राहक गट त्याच नावाने अस्तित्वात असेल तर ग्राहक नाव बदला किंवा ग्राहक गट नाव बदला,
A Default Service Level Agreement already exists.,डीफॉल्ट सेवा स्तर करार आधीपासून विद्यमान आहे.,
A Lead requires either a person's name or an organization's name,लीडला एकतर व्यक्तीचे नाव किंवा संस्थेचे नाव आवश्यक असते,
A customer with the same name already exists,त्याच नावासह असलेले ग्राहक आधीपासून अस्तित्वात आहे,
A question must have more than one options,प्रश्नात एकापेक्षा जास्त पर्याय असणे आवश्यक आहे,
A qustion must have at least one correct options,एका क्शनमध्ये कमीतकमी एक योग्य पर्याय असणे आवश्यक आहे,
A {0} exists between {1} and {2} (,{1} आणि {2} दरम्यान एक {0} अस्तित्वात आहे (,
Abbr can not be blank or space,Abbr रिक्त किंवा जागा असू शकत नाही,
Abbreviation already used for another company,संक्षेप कंपनीसाठी आधीच वापरला,
Abbreviation cannot have more than 5 characters,संक्षेपला ५ पेक्षा जास्त वर्ण असू शकत नाही,
Abbreviation is mandatory,संक्षेप करणे आवश्यक आहे,
About the Company,कंपनी बद्दल,
About your company,आपल्या कंपनी बद्दल,
Above,वर,
Absent,अनुपस्थित,
Academic Term,शैक्षणिक कालावधी,
Academic Term: ,शैक्षणिक कालावधी:,
Academic Year,शैक्षणिक वर्ष,
Academic Year: ,शैक्षणिक वर्ष:,
Accepted + Rejected Qty must be equal to Received quantity for Item {0},नाकारलेले + स्वीकारले प्रमाण प्राप्त प्रमाणासमान असणे आवश्यक आहे {0},
Accessable Value,प्रवेशयोग्य मूल्य,
Account,खाते,
Account Number,खाते क्रमांक,
Account Number {0} already used in account {1},खात्यात {0} खाते क्रमांक वापरला आहे {1},
Account Pay Only,केवळ खाते वेतन,
Account Type,खाते प्रकार,
Account Type for {0} must be {1},खाते प्रकार {0} असणे आवश्यक आहे {1},
"Account balance already in Credit, you are not allowed to set 'Balance Must Be' as 'Debit'","आधीचे क्रेडिट मध्ये खाते शिल्लक आहे , आपल्याला ' डेबिट ' म्हणून 'शिल्लक असणे आवश्यक' सेट करण्याची परवानगी नाही",
"Account balance already in Debit, you are not allowed to set 'Balance Must Be' as 'Credit'","आधीच डेबिट मध्ये खाते शिल्लक आहे , आपल्याला ' क्रेडिट ' म्हणून ' शिल्लक असणे आवश्यक आहे ' सेट करण्याची परवानगी नाही",
Account number for account {0} is not available.<br> Please setup your Chart of Accounts correctly.,{0} खात्यासाठी खाते क्रमांक उपलब्ध नाही. <br> कृपया आपला चार्ट अचूकपणे सेटअप करा.,
Account with child nodes cannot be converted to ledger,बालक नोडस् सह खाते लेजर मधे रूपांतरीत केले जाऊ शकत नाही,
Account with child nodes cannot be set as ledger,बालक नोडस् सह खाते लेजर म्हणून सेट केली जाऊ शकत  नाही,
Account with existing transaction can not be converted to group.,विद्यमान व्यवहार खाते गट मधे रूपांतरीत केले जाऊ शकत नाही.,
Account with existing transaction can not be deleted,विद्यमान व्यवहार खाते हटविले जाऊ शकत नाही,
Account with existing transaction cannot be converted to ledger,विद्यमान व्यवहार खाते लेजर रूपांतरीत केले जाऊ शकत नाही,
Account {0} does not belong to company: {1},खाते {0} ला  कंपनी {1} संबंधित नाही,
Account {0} does not belongs to company {1},खाते {0} ला  कंपनी {1} मालकीचे नाही,
Account {0} does not exist,खाते {0} अस्तित्वात नाही,
Account {0} does not exists,खाते {0} अस्तित्वात नाही,
Account {0} does not match with Company {1} in Mode of Account: {2},खाते {0} खाते मोड मध्ये {1} कंपनी जुळत नाही: {2},
Account {0} has been entered multiple times,खाते {0} अनेक वेळा प्रविष्ट केले गेले आहे,
Account {0} is added in the child company {1},खाते {0} बाल कंपनीमध्ये जोडली गेली आहे {1},
Account {0} is frozen,खाते {0} गोठविले,
Account {0} is invalid. Account Currency must be {1},खाते {0} अवैध आहे. खाते चलन {1} असणे आवश्यक आहे,
Account {0}: Parent account {1} can not be a ledger,खाते {0}: पालक खाते {1} एक लेजर असू शकत नाही,
Account {0}: Parent account {1} does not belong to company: {2},खाते {0}: पालक खाते {1} कंपनी {2} ला संबंधित नाही:,
Account {0}: Parent account {1} does not exist,खाते {0}: पालक खाते {1} अस्तित्वात नाही,
Account {0}: You can not assign itself as parent account,खाते {0}: आपण पालक खाते म्हणून स्वत: नियुक्त करू शकत नाही,
Account: {0} can only be updated via Stock Transactions,खाते: {0} केवळ शेअर व्यवहार द्वारे अद्यतनित केले जाऊ शकतात,
Account: {0} with currency: {1} can not be selected,खाते: {0} चलन: {1} बरोबर  निवडले जाऊ शकत नाही,
Accountant,लेखापाल,
Accounting,लेखा,
Accounting Entry for Asset,मालमत्तेसाठी लेखा परवाना,
Accounting Entry for Stock,शेअर एकट्या प्रवेश,
Accounting Entry for {0}: {1} can only be made in currency: {2},लेखांकन प्रवेश  {0}: {1} साठी फक्त चलन {2} मधे केले जाऊ शकते,
Accounting Ledger,लेखा लेजर,
Accounting journal entries.,लेखा जर्नल नोंदी.,
Accounts,खाते,
Accounts Payable,देय खाती,
Accounts Payable Summary,खाती देय सारांश,
Accounts Receivable,प्राप्तीयोग्य खाते,
Accounts Receivable Summary,खाते प्राप्तीयोग्य सारांश,
Accounts table cannot be blank.,खाती टेबल रिक्त असू शकत नाही.,
Accrual Journal Entry for salaries from {0} to {1},{0} ते {1} पर्यंतच्या पगाराच्या तारखेसाठी उपार्जित जर्नल प्रवेश,
Accumulated Depreciation,जमा घसारा,
Accumulated Depreciation Amount,जमा घसारा रक्कम,
Accumulated Depreciation as on,म्हणून घसारा जमा,
Accumulated Monthly,जमा मासिक,
Accumulated Values,जमा मूल्ये,
Accumulated Values in Group Company,ग्रुप कंपनीमधील संचित मूल्या,
Achieved ({}),गाठले ({}),
Action,क्रिया,
Action Initialised,कृती आरंभ,
Actions,क्रिया,
Active,सक्रिय,
Active Leads / Customers,सक्रिय निष्पन्न / ग्राहक,
Activity Cost exists for Employee {0} against Activity Type - {1},क्रियाकलाप खर्च कर्मचारी {0} साठी  गतिविधी प्रकार - {1} विरुद्ध अस्तित्वात असतो,
Activity Cost per Employee,कर्मचारी दर क्रियाकलाप खर्च,
Activity Type,क्रियाकलाप प्रकार,
Actual Cost,वास्तविक किंमत,
Actual Delivery Date,वास्तविक वितरण तारीख,
Actual Qty,वास्तविक Qty,
Actual Qty is mandatory,वास्तविक प्रमाण अनिवार्य आहे,
Actual Qty {0} / Waiting Qty {1},वास्तविक प्रमाण {0} / प्रतिक्षा प्रमाण {1},
Actual Qty: Quantity available in the warehouse.,वास्तविक संख्या: गोदामात प्रमाण उपलब्ध.,
Actual qty in stock,शेअर प्रत्यक्ष प्रमाण,
Actual type tax cannot be included in Item rate in row {0},प्रत्यक्ष प्रकार कर सलग बाबींचा दर समाविष्ट केले जाऊ शकत नाही {0},
Add,जोडा,
Add / Edit Prices,/ संपादित करा किंमती जोडा,
Add All Suppliers,सर्व पुरवठादार जोडा,
Add Comment,टिप्पणी जोडा,
Add Customers,ग्राहक जोडा,
Add Employees,कर्मचारी जोडा,
Add Item,आयटम जोडा,
Add Items,आयटम जोडा,
Add Leads,लीड्स जोडा,
Add Multiple Tasks,अनेक कार्ये जोडा,
Add Row,पंक्ती जोडा,
Add Sales Partners,विक्री भागीदार जोडा,
Add Serial No,सिरियल नाही जोडा,
Add Students,विद्यार्थी जोडा,
Add Suppliers,पुरवठादार जोडा,
Add Time Slots,वेळ स्लॉट जोडा,
Add Timesheets,Timesheets जोडा,
Add Timeslots,टाईमस्लॉट जोडा,
Add Users to Marketplace,मार्केटप्लेसमध्ये वापरकर्ते जोडा,
Add a new address,नवीन पत्ता जोडा,
Add cards or custom sections on homepage,मुख्यपृष्ठावर कार्ड किंवा सानुकूल विभाग जोडा,
Add more items or open full form,अधिक आयटम किंवा ओपन पूर्ण फॉर्म जोडा,
Add notes,नोट्स जोडा,
Add the rest of your organization as your users. You can also add invite Customers to your portal by adding them from Contacts,आपल्या वापरकर्त्यांना आपल्या संस्थेसाठी उर्वरित जोडा. आपण संपर्क जोडून त्यांना आपले पोर्टल ग्राहकांना आमंत्रित करा जोडू शकता,
Add to Details,तपशील जोडा,
Add/Remove Recipients,प्राप्तकर्ते  जोडा / काढा,
Added,जोडले,
Added to details,तपशीलामध्ये जोडले,
Added {0} users,{0} वापरकर्ते जोडले,
Additional Salary Component Exists.,अतिरिक्त वेतन घटक विद्यमान आहेत.,
Address,पत्ता,
Address Line 2,पत्ता ओळ 2,
Address Name,पत्ता नाव,
Address Title,पत्ता शीर्षक,
Address Type,पत्ता प्रकार,
Administrative Expenses,प्रशासकीय खर्च,
Administrative Officer,प्रशासकीय अधिकारी,
Administrator,प्रशासक,
Admission,प्रवेश,
Admission and Enrollment,प्रवेश व नावनोंदणी,
Admissions for {0},प्रवेश {0},
Admit,प्रवेश करा,
Admitted,दाखल,
Advance Amount,आगाऊ रक्कम,
Advance Payments,आगाऊ पेमेंट,
Advance account currency should be same as company currency {0},अॅडव्हान्स खाते चलन कंपनीचे चलन {0} प्रमाणेच असावे,
Advance amount cannot be greater than {0} {1},आगाऊ रक्कम पेक्षा जास्त असू शकत नाही {0} {1},
Advertising,जाहिरात,
Aerospace,एरोस्पेस,
Against,विरुद्ध,
Against Account,खाते विरुद्ध,
Against Journal Entry {0} does not have any unmatched {1} entry,जर्नल विरुद्ध प्रवेश {0} कोणत्याही न जुळणारी {1} नोंद नाही,
Against Journal Entry {0} is already adjusted against some other voucher,जर्नल विरुद्ध प्रवेश {0} आधीच काही इतर व्हाउचर विरुद्ध सुस्थीत केले जाते,
Against Supplier Invoice {0} dated {1},पुरवठादार विरुद्ध चलन {0} दिनांक {1},
Against Voucher,व्हाउचर विरुद्ध,
Against Voucher Type,व्हाउचर प्रकार विरुद्ध,
Age,वय,
Age (Days),वय (दिवस),
Ageing Based On,आधारित Ageing,
Ageing Range 1,Ageing श्रेणी 1,
Ageing Range 2,Ageing श्रेणी 2,
Ageing Range 3,Ageing श्रेणी 3,
Agriculture,कृषी,
Agriculture (beta),कृषी (बीटा),
Airline,एयरलाईन,
All Accounts,सर्व खाती,
All Addresses.,सर्व पत्ते.,
All Assessment Groups,सर्व मूल्यांकन गट,
All BOMs,सर्व BOMs,
All Contacts.,सर्व संपर्क.,
All Customer Groups,सर्व ग्राहक गट,
All Day,सर्व दिवस,
All Departments,सर्व विभाग,
All Healthcare Service Units,सर्व आरोग्य सेवा एकक,
All Item Groups,सर्व आयटम गट,
All Jobs,सर्व नोकरी,
All Products,सर्व उत्पादने,
All Products or Services.,सर्व उत्पादने किंवा सेवा.,
All Student Admissions,सर्व विद्यार्थी प्रवेश,
All Supplier Groups,सर्व पुरवठादार गट,
All Supplier scorecards.,सर्व पुरवठादार स्कोरकार्ड,
All Territories,सर्व प्रदेश,
All Warehouses,सर्व गोदामांची,
All communications including and above this shall be moved into the new Issue,यासह आणि वरील सर्व संवाद नवीन समस्येत हलविले जातील,
All items have already been invoiced,सर्व आयटम आधीच invoiced आहेत,
All items have already been transferred for this Work Order.,या कामाकरता सर्व बाबी यापूर्वीच हस्तांतरित करण्यात आल्या आहेत.,
All other ITC,इतर सर्व आयटीसी,
All the mandatory Task for employee creation hasn't been done yet.,कर्मचारी निर्मितीसाठी सर्व अनिवार्य कार्य अद्याप केले गेले नाहीत,
All these items have already been invoiced,या सर्व आयटम आधीच invoiced आहेत,
Allocate Payment Amount,देयक रक्कम वाटप,
Allocated Amount,रक्कम,
Allocated Leaves,वाटप पाने,
Allocating leaves...,पत्त्यांचे वाटप करीत आहे ...,
Already record exists for the item {0},आयटम {0} साठी आधीपासूनच रेकॉर्ड अस्तित्वात आहे,
"Already set default in pos profile {0} for user {1}, kindly disabled default","उपयोक्त्यास {0} साठी आधीच {0} प्रोफाईल प्रोफाइलमध्ये सेट केले आहे, कृपया दिलगिरी अक्षम",
Alternate Item,वैकल्पिक आयटम,
Alternative item must not be same as item code,वैकल्पिक आयटम आयटम कोडप्रमाणेच नसणे आवश्यक आहे,
Amount,रक्कम,
Amount After Depreciation,घसारा केल्यानंतर रक्कम,
Amount of Integrated Tax,समाकलित कराची रक्कम,
Amount of TDS Deducted,टीडीएसची रक्कम विघटित,
Amount should not be less than zero.,रक्कम शून्यापेक्षा कमी नसावी.,
Amount to Bill,बिल रक्कम,
Amount {0} {1} against {2} {3},रक्कम {0} {1} विरुद्ध {2} {3},
Amount {0} {1} deducted against {2},रक्कम {0} {1} विरुद्ध वजा {2},
Amount {0} {1} transferred from {2} to {3},रक्कम {0} {1} हस्तांतरित {2} करण्यासाठी {3},
Amount {0} {1} {2} {3},रक्कम {0} {1} {2} {3},
Amt,रक्कम,
"An Item Group exists with same name, please change the item name or rename the item group","आयटम त्याच नावाने अस्तित्वात  असेल , तर आयटम गट नाव बदल  किंवा आयटम पुनर्नामित करा",
An academic term with this 'Academic Year' {0} and 'Term Name' {1} already exists. Please modify these entries and try again.,या &#39;शैक्षणिक वर्ष&#39; एक शैक्षणिक मुदत {0} आणि &#39;मुदत नाव&#39; {1} आधीच अस्तित्वात आहे. या नोंदी सुधारित आणि पुन्हा प्रयत्न करा.,
An error occurred during the update process,अद्यतन प्रक्रियेदरम्यान एक त्रुटी आली,
"An item exists with same name ({0}), please change the item group name or rename the item","आयटम त्याच नावाने अस्तित्वात ( {0} ) असेल , तर आयटम गट नाव बदल  किंवा आयटम पुनर्नामित करा",
Analyst,विश्लेषक,
Analytics,विश्लेषण,
Annual Billing: {0},वार्षिक बिलिंग: {0},
Annual Salary,वार्षिक पगार,
Anonymous,अनामिक,
Another Budget record '{0}' already exists against {1} '{2}' and account '{3}' for fiscal year {4},दुसरे बजेट रेकॉर्ड &#39;{0}&#39; आधीपासूनच चालू आहे {1} &#39;{2}&#39; आणि &#39;{3}&#39; च्या आथिर्क वर्षासाठी {4},
Another Period Closing Entry {0} has been made after {1},आणखी कालावधी संवरण {0} आला आहे {1},
Another Sales Person {0} exists with the same Employee id,आणखी विक्री व्यक्ती {0} त्याच कर्मचारी ID अस्तित्वात,
Antibiotic,प्रतिजैविक,
Apparel & Accessories,तयार कपडे आणि अॅक्सेसरीज,
"Applicable if the company is SpA, SApA or SRL","जर कंपनी एसपीए, सपा किंवा एसआरएल असेल तर लागू",
Applicable if the company is a limited liability company,जर कंपनी मर्यादित दायित्व कंपनी असेल तर लागू,
Applicable if the company is an Individual or a Proprietorship,जर कंपनी वैयक्तिक किंवा मालकीची असेल तर ती लागू होईल,
Applicant,अर्जदार,
Applicant Type,अर्जदार प्रकार,
Application of Funds (Assets),निधी मालमत्ता (assets) अर्ज,
Application period cannot be across two allocation records,अर्ज कालावधी दोन वाटपांच्या रेकॉर्डमध्ये असू शकत नाही,
Application period cannot be outside leave allocation period,अर्ज काळ रजा वाटप कालावधी बाहेर असू शकत नाही,
Applied,लागू,
Apply Now,आता लागू,
Appointment Confirmation,नेमणूक पुष्टीकरण,
Appointment Duration (mins),नियोजित कालावधी (मिनिटे),
Appointment Type,नेमणूक प्रकार,
Appointment {0} and Sales Invoice {1} cancelled,नियुक्ती {0} आणि विक्री चलन {1} रद्द,
Appointments and Encounters,नेमणूक आणि भेटी,
Appointments and Patient Encounters,भेटी आणि रुग्णांच्या उद्घोषक,
Appraisal {0} created for Employee {1} in the given date range,मूल्यमापन {0} {1} दिलेल्या तारखेपासून श्रेणीत कर्मचारी तयार,
Apprentice,शिकाऊ उमेदवार,
Approval Status must be 'Approved' or 'Rejected',मंजूरीची स्थिती &#39;मंजूर&#39; किंवा &#39;नाकारलेली&#39; करणे आवश्यक आहे,
Approve,मंजूर,
Approving Role cannot be same as role the rule is Applicable To,भूमिका मंजूर नियम लागू आहे भूमिका समान असू शकत नाही,
Approving User cannot be same as user the rule is Applicable To,सदस्य मंजूर नियम लागू आहे वापरकर्ता म्हणून समान असू शकत नाही,
"Apps using current key won't be able to access, are you sure?","चालू की वापरणारे अॅप्स प्रवेश करण्यात सक्षम होणार नाहीत, आपल्याला खात्री आहे?",
Are you sure you want to cancel this appointment?,आपली खात्री आहे की आपण ही नियोजित भेट रद्द करू इच्छिता?,
Arrear,थकबाकी,
As Examiner,निरीक्षक म्हणून,
As On Date,तारखेला,
As Supervisor,पर्यवेक्षक म्हणून,
As per rules 42 & 43 of CGST Rules,सीजीएसटीच्या नियमांनुसार 42 आणि 43 नुसार,
As per section 17(5),कलम १ (()) नुसार,
As per your assigned Salary Structure you cannot apply for benefits,आपल्या नियुक्त सॅलरी संरचना नुसार आपण लाभांसाठी अर्ज करू शकत नाही,
Assessment,मूल्यांकन,
Assessment Criteria,मूल्यांकन निकष,
Assessment Group,मूल्यांकन गट,
Assessment Group: ,मूल्यांकन गट:,
Assessment Plan,मूल्यांकन योजना,
Assessment Plan Name,मूल्यांकन योजना नाव,
Assessment Report,मूल्यांकन अहवाल,
Assessment Reports,मूल्यांकन अहवाल,
Assessment Result,मूल्यांकन निकाल,
Assessment Result record {0} already exists.,मूल्यांकन परिणाम रेकॉर्ड {0} आधीपासूनच अस्तित्वात आहे.,
Asset,मालमत्ता,
Asset Category,मालमत्ता वर्ग,
Asset Category is mandatory for Fixed Asset item,मालमत्ता वर्ग मुदत मालमत्ता आयटम अनिवार्य आहे,
Asset Maintenance,मालमत्ता देखभाल,
Asset Movement,मालमत्ता चळवळ,
Asset Movement record {0} created,मालमत्ता चळवळ रेकॉर्ड {0} तयार,
Asset Name,मालमत्ता नाव,
Asset Received But Not Billed,मालमत्ता प्राप्त झाली परंतु बिल केलेले नाही,
Asset Value Adjustment,मालमत्ता मूल्य समायोजन,
"Asset cannot be cancelled, as it is already {0}","मालमत्ता तो आधीपासूनच आहे म्हणून, रद्द करता येणार नाही {0}",
Asset scrapped via Journal Entry {0},मालमत्ता जर्नल प्रवेश द्वारे रद्द {0},
"Asset {0} cannot be scrapped, as it is already {1}","मालमत्ता {0} तो आधीपासूनच आहे म्हणून, रद्द जाऊ शकत नाही {1}",
Asset {0} does not belong to company {1},मालमत्ता {0} कंपनी संबंधित नाही {1},
Asset {0} must be submitted,मालमत्ता {0} सादर करणे आवश्यक आहे,
Assets,मालमत्ता,
Assign,वाटप,
Assign Salary Structure,वेतन संरचना नियुक्त करा,
Assign to Employees,कर्मचार्यांना नियुक्त करा,
Assigning Structures...,रचना नियुक्त करीत आहे ...,
Associate,सहकारी,
At least one mode of payment is required for POS invoice.,पैसे किमान एक मोड POS चलन आवश्यक आहे.,
Atleast one item should be entered with negative quantity in return document,किमान एक आयटम परत दस्तऐवज नकारात्मक प्रमाणात प्रवेश केला पाहिजे,
Atleast one of the Selling or Buying must be selected,विक्री किंवा खरेदी कमीत कमी एक निवडणे आवश्यक आहे,
Atleast one warehouse is mandatory,किमान एक कोठार अनिवार्य आहे,
Attach Logo,लोगो संलग्न,
Attachments,संलग्नक,
Attendance,विधान परिषदेच्या,
Attendance From Date and Attendance To Date is mandatory,उपस्थिती पासून तारीख आणि उपस्थिती पर्यंत  तारीख अनिवार्य आहे,
Attendance Record {0} exists against Student {1},उपस्थिती नोंद {0} विद्यार्थी विरुद्ध अस्तित्वात {1},
Attendance can not be marked for future dates,उपस्थिती भविष्यात तारखा चिन्हांकित केला जाऊ शकत नाही,
Attendance date can not be less than employee's joining date,उपस्थिती तारीख कर्मचारी सामील तारीख पेक्षा कमी असू शकत नाही,
Attendance for employee {0} is already marked,कर्मचारी {0} हजेरी आधीच खूण आहे,
Attendance for employee {0} is already marked for this day,कर्मचारी {0} हजेरी आधीच आज करीता चिन्हाकृत केले,
Attendance has been marked successfully.,उपस्थिती यशस्वीरित्या चिन्हांकित केले गेले.,
Attendance not submitted for {0} as it is a Holiday.,हे हॉलिडे म्हणून {0} साठी उपस्थित नाही.,
Attendance not submitted for {0} as {1} on leave.,{0} साठी {1} सुट्टीसाठी उपस्थित नाही.,
Attribute table is mandatory,विशेषता टेबल अनिवार्य आहे,
Attribute {0} selected multiple times in Attributes Table,विशेषता {0} विशेषता टेबल अनेक वेळा निवडले,
Authorized Signatory,अधिकृत स्वाक्षरीकर्ता,
Auto Material Requests Generated,ऑटो साहित्य विनंत्या तयार होतो,
Auto repeat document updated,स्वयं पुनरावृत्ती कागदजत्र अद्यतनित केले,
Automotive,ऑटोमोटिव्ह,
Available,उपलब्ध,
Available Leaves,उपलब्ध पाने,
Available Qty,उपलब्ध Qty,
Available Selling,उपलब्ध विक्री,
Available for use date is required,वापरण्याच्या तारखेसाठी उपलब्ध असणे आवश्यक आहे,
Available slots,उपलब्ध स्लॉट,
Available {0},उपलब्ध {0},
Available-for-use Date should be after purchase date,वापरण्यासाठी उपलब्ध तारीख खरेदीच्या तारखेनंतर असावी,
Average Age,सरासरी वय,
Average Rate,सरासरी दर,
Avg Daily Outgoing,सरासरी दैनिक जाणारे,
Avg. Buying Price List Rate,सरासरी किंमत सूची दर खरेदी,
Avg. Selling Price List Rate,सरासरी किंमत सूची दर विक्री,
Avg. Selling Rate,सरासरी. विक्री दर,
BOM,BOM,
BOM Browser,BOM ब्राउझर,
BOM No,BOM नाही,
BOM Rate,BOM दर,
BOM Stock Report,BOM शेअर अहवाल,
BOM and Manufacturing Quantity are required,BOM व उत्पादन प्रमाण आवश्यक आहे,
BOM does not contain any stock item,BOM कोणत्याही शेअर आयटम असणे नाही,
BOM {0} does not belong to Item {1},BOM {0} आयटम संबंधित नाही {1},
BOM {0} must be active,BOM {0} सक्रिय असणे आवश्यक आहे,
BOM {0} must be submitted,BOM {0} सादर करणे आवश्यक आहे,
Balance,शिल्लक,
Balance (Dr - Cr),बॅलन्स (डॉ - सीआर),
Balance ({0}),शिल्लक ({0}),
Balance Qty,शिल्लक Qty,
Balance Sheet,ताळेबंद,
Balance Value,शिल्लक मूल्य,
Balance for Account {0} must always be {1},खाते साठी शिल्लक {0} नेहमी असणे आवश्यक आहे {1},
Bank,बँक,
Bank Account,बँक खाते,
Bank Accounts,बँक खाते,
Bank Draft,बँक ड्राफ्ट,
Bank Entries,बँक नोंदी,
Bank Name,बँक नाव,
Bank Overdraft Account,बँक ओव्हरड्राफ्ट खाते,
Bank Reconciliation,बँक मेळ,
Bank Reconciliation Statement,बँक मेळ विवरणपत्र,
Bank Statement,बँक स्टेटमेंट,
Bank Statement Settings,बँक स्टेटमेंट सेटिंग्ज,
Bank Statement balance as per General Ledger,सामान्य लेजर नुसार बँक स्टेटमेंट शिल्लक,
Bank account cannot be named as {0},बँक खाते म्हणून नावाच्या करणे शक्य नाही {0},
Bank/Cash transactions against party or for internal transfer,बँक / रोख पक्ष विरोधात किंवा अंतर्गत हस्तांतरण व्यवहार,
Banking,बँकिंग,
Banking and Payments,बँकिंग आणि देयके,
Barcode {0} already used in Item {1},बारकोड {0} आधीच आयटम वापरले {1},
Barcode {0} is not a valid {1} code,बारकोड {0} एक वैध {1} कोड नाही,
Base,बेस,
Based On,आधारित,
