"""Customer Provided Item"" cannot be Purchase Item also",„Предмет који пружа клијент“ такође не може бити предмет куповине,
"""Customer Provided Item"" cannot have Valuation Rate",„Предмет који пружа клијент“ не може имати стопу вредновања,
"""Is Fixed Asset"" cannot be unchecked, as Asset record exists against the item","&quot;Да ли је основних средстава&quot; не може бити неконтролисано, као средствима запис постоји у односу на ставке",
'Based On' and 'Group By' can not be same,"""На основу"" и ""Групиши по"" не могу бити идентични",
'Days Since Last Order' must be greater than or equal to zero,"""Дана од последње поруџбине"" мора бити веће или једнако нули",
'Entries' cannot be empty,"""Уноси"" не могу бити празни",
'From Date' is required,"""Од датума"" је обавезно",
'From Date' must be after 'To Date',"""Од датума"" мора бити након ""До датума""",
'Has Serial No' can not be 'Yes' for non-stock item,"""Има серијски број"" не може бити ""Да"" за артикл који није на залихама",
'Opening',&#39;Отварање&#39;,
'To Case No.' cannot be less than 'From Case No.',&#39;Да Предмет бр&#39; не може бити мањи од &#39;Од Предмет бр&#39;,
'To Date' is required,' To Date ' требуется,
'Total',&#39;Укупно&#39;,
'Update Stock' can not be checked because items are not delivered via {0},"&#39;Ажурирање Сток &quot;не може се проверити, јер ствари нису достављене преко {0}",
'Update Stock' cannot be checked for fixed asset sale,&#39;Ажурирање Сток &quot;не може да се провери за фиксну продаје имовине,
1 exact match.,1 тачно подударање.,
90-Above,90-Изнад,
A Customer Group exists with same name please change the Customer name or rename the Customer Group,"Группа клиентов существует с тем же именем , пожалуйста изменить имя клиентов или переименовать группу клиентов",
A Default Service Level Agreement already exists.,Уговор о нивоу услуге већ постоји.,
A Lead requires either a person's name or an organization's name,Олово захтева или име особе или име организације,
A customer with the same name already exists,Клијент са истим именом већ постоји,
A question must have more than one options,Питање мора имати више опција,
A qustion must have at least one correct options,Куранце мора имати најмање једну исправну опцију,
A4,А4,
API Endpoint,Ендпоинт АПИ,
API Key,АПИ кључ,
Abbr can not be blank or space,Аббр не може бити празно или простор,
Abbreviation already used for another company,Скраћеница већ користи за другу компанију,
Abbreviation cannot have more than 5 characters,Аббревиатура не может иметь более 5 символов,
Abbreviation is mandatory,Држава је обавезна,
About the Company,О компанији,
About your company,О вашој компанији,
Above,Горе,
Academic Term,akademski Рок,
Academic Term: ,Академски термин:,
Academic Year,Академска година,
Academic Year: ,Академска година:,
Accepted + Rejected Qty must be equal to Received quantity for Item {0},Принято + Отклоненные Кол-во должно быть равно полученного количества по пункту {0},
Access Token,Приступ токен,
Accessable Value,Доступна вредност,
Account,Рачун,
Account Number,Број рачуна,
Account Number {0} already used in account {1},Број рачуна {0} већ се користи на налогу {1},
Account Pay Only,Рачун плаћате само,
Account Type,Тип налога,
Account Type for {0} must be {1},Тип рачун за {0} мора бити {1},
"Account balance already in Credit, you are not allowed to set 'Balance Must Be' as 'Debit'","Стања на рачуну већ у Кредит, није вам дозвољено да поставите 'биланс треба да се' као 'Дебит """,
"Account balance already in Debit, you are not allowed to set 'Balance Must Be' as 'Credit'","Стање рачуна већ у задуживање, није вам дозвољено да поставите 'Стање Муст Бе' као 'Кредит'",
Account number for account {0} is not available.<br> Please setup your Chart of Accounts correctly.,Број рачуна за налог {0} није доступан. <br> Молимо правилно подесите свој рачун.,
Account with child nodes cannot be converted to ledger,Счет с дочерних узлов не могут быть преобразованы в книге,
Account with child nodes cannot be set as ledger,Рачун са дететом чворова не може да се подеси као књиге,
Account with existing transaction can not be converted to group.,Счет с существующей сделки не могут быть преобразованы в группы .,
Account with existing transaction can not be deleted,Счет с существующей сделки не могут быть удалены,
Account with existing transaction cannot be converted to ledger,Счет с существующей сделки не могут быть преобразованы в книге,
Account {0} does not belong to company: {1},Рачун {0} не припада компанији: {1},
Account {0} does not belongs to company {1},Рачун {0} не припада компанији {1},
Account {0} does not exist,Счет {0} не существует,
Account {0} does not exists,Рачун {0} не постоји,
Account {0} does not match with Company {1} in Mode of Account: {2},Рачун {0} не поклапа са Компаније {1} у режиму рачуна: {2},
Account {0} has been entered multiple times,Рачун {0} је ушла више пута,
Account {0} is added in the child company {1},Рачун {0} се додаје у дечијем предузећу {1},
Account {0} is frozen,Счет {0} заморожен,
Account {0} is invalid. Account Currency must be {1},Рачун {0} је неважећа. Рачун валута мора да буде {1},
Account {0}: Parent account {1} can not be a ledger,Рачун {0}: {1 Родитељ рачун} не може бити књига,
Account {0}: Parent account {1} does not belong to company: {2},Рачун {0}: {1 Родитељ рачун} не припада компанији: {2},
Account {0}: Parent account {1} does not exist,Рачун {0}: {1 Родитељ рачун} не постоји,
Account {0}: You can not assign itself as parent account,Рачун {0}: Не може да се доделити као родитељ налог,
Account: {0} can only be updated via Stock Transactions,Рачун: {0} може да се ажурира само преко Стоцк промету,
Account: {0} with currency: {1} can not be selected,Рачун: {0} са валутом: {1} не може бити изабран,
Accountant,рачуновођа,
Accounting,Рачуноводство,
Accounting Entry for Asset,Рачуноводствени унос за имовину,
Accounting Entry for Stock,Рачуноводство Ентри за Деонице,
Accounting Entry for {0}: {1} can only be made in currency: {2},Књиговодство Ступање на {0}: {1} може се вршити само у валути: {2},
Accounting Ledger,Књиговодство Леџер,
Accounting journal entries.,Рачуноводствене ставке дневника.,
Accounts,Рачуни,
Accounts Manager,Рачуни менаџер,
Accounts Payable,Обавезе према добављачима,
Accounts Payable Summary,Обавезе према добављачима Преглед,
Accounts Receivable,Потраживања,
Accounts Receivable Summary,Потраживања од купаца Преглед,
Accounts User,Корисничке налоге,
Accounts table cannot be blank.,Рачуни сто не мозе бити празна.,
Accumulated Depreciation,Акумулирана амортизација,
Accumulated Depreciation Amount,Исправка вриједности Количина,
Accumulated Depreciation as on,Акумулирана амортизација као на,
Accumulated Monthly,картон Месечно,
Accumulated Values,Акумулиране вредности,
Accumulated Values in Group Company,Акумулиране вредности у групној компанији,
Achieved ({}),Постићи ({}),
Action,Акција,
Action Initialised,Акција је покренута,
Actions,Акције,
Active,Активан,
Activity Cost exists for Employee {0} against Activity Type - {1},Активност Трошкови постоји за запосленог {0} против Ацтивити типе - {1},
Activity Cost per Employee,Активност Трошкови по запосленом,
Activity Type,Активност Тип,
Actual Cost,Стварна цена,
Actual Delivery Date,Стварни датум испоруке,
Actual Qty,Стварна Кол,
Actual Qty is mandatory,Стварна ком је обавезна,
Actual Qty {0} / Waiting Qty {1},Ацтуал Кти {0} / Ваитинг Кти {1},
Actual Qty: Quantity available in the warehouse.,Стварна Кол : Количина доступан у складишту .,
Actual qty in stock,Стварна количина на лагеру,
Actual type tax cannot be included in Item rate in row {0},Актуелне тип порез не може бити укључен у стопу тачка у низу {0},
Add,Додати,
Add / Edit Prices,Додај / измени Прицес,
Add Comment,Додај коментар,
Add Customers,Додај Купци,
Add Employees,Додај Запослени,
Add Item,Додајте ставку,
Add Items,Додај артикле,
Add Leads,Адд Леадс,
Add Multiple Tasks,Додајте више задатака,
Add Sales Partners,Додајте продајне партнере,
Add Serial No,Додај сериал но,
Add Students,Додај Студенти,
Add Suppliers,Додајте добављаче,
Add Time Slots,Адд Тиме Слотс,
Add Timesheets,Додај тимесхеетс,
Add Timeslots,Додај Тимеслотс,
Add Users to Marketplace,Додајте кориснике у Маркетплаце,
Add a new address,Додај нову адресу,
Add cards or custom sections on homepage,Додајте картице или прилагођене одељке на почетну страницу,
Add more items or open full form,Додали још ставки или Опен пуној форми,
Add notes,Додајте белешке,
Add the rest of your organization as your users. You can also add invite Customers to your portal by adding them from Contacts,Додајте остатак свог организације као своје кориснике. Такође можете да додате позвати купце да вашем порталу тако да их додају из контаката,
Add/Remove Recipients,Адд / Ремове прималаца,
Added,Додато,
Added {0} users,Додато је {0} корисника,
Additional Salary Component Exists.,Постоје додатне компоненте зараде.,
Address,Адреса,
Address Line 2,Аддресс Лине 2,
Address Name,Адреса Име,
Address Title,Адреса Наслов,
Address Type,Врста адресе,
Administrative Expenses,административные затраты,
Administrative Officer,Административни службеник,
Administrator,Администратор,
Admission,улаз,
Admission and Enrollment,Упис и упис,
Admissions for {0},Пријемни за {0},
Admit,Признајем,
Admitted,Признао,
Advance Amount,Унапред Износ,
Advance Payments,Адванце Плаћања,
Advance account currency should be same as company currency {0},Адванце валута валуте треба да буде иста као валута компаније {0},
Advance amount cannot be greater than {0} {1},Унапред износ не може бити већи од {0} {1},
Advertising,Оглашавање,
Aerospace,ваздушно-космички простор,
Against,Против,
Against Account,Против налога,
Against Journal Entry {0} does not have any unmatched {1} entry,Против часопису Ступање {0} нема никакву премца {1} улазак,
Against Journal Entry {0} is already adjusted against some other voucher,Против часопису Ступање {0} је већ прилагођен против неког другог ваучера,
Against Supplier Invoice {0} dated {1},Против добављача Фактура {0} {1} од,
Against Voucher,Против ваучер,
