"""Customer Provided Item"" cannot be Purchase Item also",&quot;Asiakkaan toimittama tuote&quot; ei voi myöskään olla osto-esine,
"""Customer Provided Item"" cannot have Valuation Rate",&quot;Asiakkaan toimittamalla tuotteella&quot; ei voi olla arviointiastetta,
"""Is Fixed Asset"" cannot be unchecked, as Asset record exists against the item","&quot;Is Fixed Asset&quot; ei voi olla valitsematta, koska Asset kirjaa olemassa vasten kohde",
'Based On' and 'Group By' can not be same,'perustaja' ja 'ryhmä' ei voi olla samat,
'Days Since Last Order' must be greater than or equal to zero,'Päivää edellisestä tilauksesta' on oltava suurempi tai yhtäsuuri kuin nolla,
'Entries' cannot be empty,'Kirjaukset' ei voi olla tyhjä,
'From Date' is required,'Aloituspäivä' on pakollinen,
'From Date' must be after 'To Date',Aloituspäivän tulee olla ennen päättymispäivää,
'Has Serial No' can not be 'Yes' for non-stock item,Varastoimattoman nimikkeen 'Sarjanumeroitu' -arvo ei voi olla 'kyllä',
'Opening','Avattu',
'To Case No.' cannot be less than 'From Case No.','Aloitustapahtumanumero' ei voi olla pienempi 'Päättymistapahtumanumero',
'To Date' is required,'Päättymispäivä' on pakollinen,
'Total','Yhteensä',
'Update Stock' can not be checked because items are not delivered via {0},"'Päivitä varasto' ei voida käyttää tuotteille, joita ei ole toimitettu {0} kautta",
'Update Stock' cannot be checked for fixed asset sale,'Päivitä varasto' ei voida valita käyttöomaisuuden myynteihin,
) for {0},) {0},
1 exact match.,1 tarkka ottelu.,
90-Above,90 ja yli,
A Customer Group exists with same name please change the Customer name or rename the Customer Group,"saman niminen asiakasryhmä on jo olemassa, vaihda asiakkaan nimi tai nimeä asiakasryhmä uudelleen",
A Default Service Level Agreement already exists.,Oletuksena oleva palvelutasosopimus on jo olemassa.,
A Lead requires either a person's name or an organization's name,Lyijy vaatii joko henkilön nimen tai organisaation nimen,
A customer with the same name already exists,Samanniminen asiakas on jo olemassa,
A question must have more than one options,Kysymyksellä on oltava useita vaihtoehtoja,
A qustion must have at least one correct options,Lauseessa on oltava ainakin yksi oikea vaihtoehto,
A {0} exists between {1} and {2} (,{0} on {1} ja {2} välillä (,
Abbr can not be blank or space,lyhenne ei voi olla tyhjä tai välilyönti,
Abbreviation already used for another company,Lyhenne on jo käytössä toisella yrityksellä,
Abbreviation cannot have more than 5 characters,Lyhenne voi olla enintään 5 merkkiä,
Abbreviation is mandatory,Lyhenne on pakollinen,
About the Company,Yrityksestä,
About your company,Tietoja yrityksestänne,
Above,Yläpuolella,
Absent,puuttua,
Academic Term,Academic Term,
Academic Term: ,Akateeminen termi:,
Academic Year,Lukuvuosi,
Academic Year: ,Lukuvuosi:,
Accepted + Rejected Qty must be equal to Received quantity for Item {0},hyväksyttyjen + hylättyjen yksikkömäärä on sama kuin tuotteiden vastaanotettu määrä {0},
Accessable Value,Käytettävissä oleva arvo,
Account,Tili,
Account Number,Tilinumero,
Account Number {0} already used in account {1},Tilinumero {0} on jo käytetty tili {1},
Account Pay Only,Tilin Pay Only,
Account Type,Tilin tyyppi,
Account Type for {0} must be {1},Tilityyppi on {0} on {1},
"Account balance already in Credit, you are not allowed to set 'Balance Must Be' as 'Debit'","Tilin tase on jo kredit, syötetyn arvon tulee olla 'tasapainossa' eli 'debet'",
"Account balance already in Debit, you are not allowed to set 'Balance Must Be' as 'Credit'","Tilin tase on jo dedet, syötetyn arvon tulee olla 'tasapainossa' eli 'krebit'",
Account number for account {0} is not available.<br> Please setup your Chart of Accounts correctly.,Tilille {0} ei ole tiliä. <br> Aseta tilikarttasi oikein.,
Account with child nodes cannot be converted to ledger,tilin alasidoksia ei voi muuttaa tilikirjaksi,
Account with child nodes cannot be set as ledger,Huomioon lapsen solmuja ei voida asettaa Ledger,
Account with existing transaction can not be converted to group.,tilin tapahtumaa ei voi muuntaa ryhmäksi,
Account with existing transaction can not be deleted,tilin tapahtumaa ei voi poistaa,
Account with existing transaction cannot be converted to ledger,tilin tapahtumaa ei voi muuttaa tilikirjaksi,
Account {0} does not belong to company: {1},tili {0} ei kuulu yritykselle: {1},
Account {0} does not belongs to company {1},Tili {0} ei kuulu yritykselle {1},
Account {0} does not exist,tiliä {0} ei löydy,
Account {0} does not exists,Tiliä {0} ei löydy,
Account {0} does not match with Company {1} in Mode of Account: {2},Tilin {0} ei vastaa yhtiön {1} -tilassa Account: {2},
Account {0} has been entered multiple times,Tili {0} on syötetty useita kertoja,
Account {0} is added in the child company {1},Tili {0} lisätään lapsiyritykseen {1},
Account {0} is frozen,Tili {0} on jäädytetty,
Account {0} is invalid. Account Currency must be {1},Tili {0} ei kelpaa. Tilin valuutan on oltava {1},
