"""Customer Provided Item"" cannot be Purchase Item also","""வாடிக்கையாளர் வழங்கிய பொருள்"" இது கொள்முதல் பொருளாகவும் இருக்க முடியாது",
"""Customer Provided Item"" cannot have Valuation Rate","""வாடிக்கையாளர் வழங்கிய பொருள்"" மதிப்பீட்டு விகிதம் இருக்க முடியாது",
"""Is Fixed Asset"" cannot be unchecked, as Asset record exists against the item","&quot;நிலையான சொத்து உள்ளது&quot; சொத்து சாதனை உருப்படியை எதிராக உள்ளது என, நீக்கம் செய்ய முடியாது",
'Based On' and 'Group By' can not be same,'அடிப்படையாக கொண்டு ' மற்றும் ' குழு மூலம் ' அதே இருக்க முடியாது,
'Days Since Last Order' must be greater than or equal to zero,' கடைசி ஆர்டர் நாட்களில் ' அதிகமாக அல்லது பூஜ்ஜியத்திற்கு சமமாக இருக்க வேண்டும்,
'Entries' cannot be empty,' பதிவுகள் ' காலியாக இருக்க முடியாது,
'From Date' is required,தொடங்கப்பட்ட தேதி அவசியம்,
'From Date' must be after 'To Date',' வரம்பு தேதி ' தேதி ' பிறகு இருக்க வேண்டும்,
'Has Serial No' can not be 'Yes' for non-stock item,' சீரியல் இல்லை உள்ளது ' அல்லாத பங்கு உருப்படியை 'ஆம்' இருக்க முடியாது,
'Opening',&#39;திறந்து&#39;,
'To Case No.' cannot be less than 'From Case No.',&#39;வழக்கு எண் வேண்டும்&#39; &#39;வழக்கு எண் வரம்பு&#39; விட குறைவாக இருக்க முடியாது,
'To Date' is required,' தேதி ' தேவைப்படுகிறது,
'Total',&#39;மொத்தம்&#39;,
'Update Stock' can not be checked because items are not delivered via {0},"பொருட்களை வழியாக இல்லை, ஏனெனில் &#39;மேம்படுத்தல் பங்கு&#39; சோதிக்க முடியாது, {0}",
'Update Stock' cannot be checked for fixed asset sale,&#39;மேம்படுத்தல் பங்கு&#39; நிலையான சொத்து விற்பனை சோதிக்க முடியவில்லை,
) for {0},{0},
1 exact match.,1 சரியான போட்டி.,
90-Above,90 மேலே,
A Customer Group exists with same name please change the Customer name or rename the Customer Group,ஒரு வாடிக்கையாளர் குழு அதே பெயரில் வாடிக்கையாளர் பெயர் மாற்ற அல்லது வாடிக்கையாளர் குழு பெயர்மாற்றம் செய்க,
A Default Service Level Agreement already exists.,இயல்புநிலை சேவை நிலை ஒப்பந்தம் ஏற்கனவே உள்ளது.,
A Lead requires either a person's name or an organization's name,ஒரு முன்னணி ஒரு நபரின் பெயர் அல்லது ஒரு நிறுவனத்தின் பெயர் தேவை,
A customer with the same name already exists,அதே பெயருடன் ஒரு வாடிக்கையாளர் ஏற்கனவே உள்ளார்,
A question must have more than one options,ஒரு கேள்விக்கு ஒன்றுக்கு மேற்பட்ட விருப்பங்கள் இருக்க வேண்டும்,
A qustion must have at least one correct options,ஒரு குவாஷனுக்கு குறைந்தபட்சம் ஒரு சரியான விருப்பங்கள் இருக்க வேண்டும்,
A {0} exists between {1} and {2} (,ஒரு {0} {1} மற்றும் {2},
Abbr can not be blank or space,சுருக்கம் வெற்று அல்லது இடைவெளி  இருக்க முடியாது,
Abbreviation already used for another company,சுருக்கமான ஏற்கனவே மற்றொரு நிறுவனம் பயன்படுத்தப்படும்,
Abbreviation cannot have more than 5 characters,சுருக்கமான மேற்பட்ட 5 எழுத்துக்கள் முடியாது,
Abbreviation is mandatory,சுருக்கம் கட்டாயமாகும்,
About the Company,நிறுவனம் பற்றி,
About your company,உங்கள் நிறுவனத்தின் பற்றி,
Above,மேலே,
Absent,வராதிரு,
Academic Term,கல்வி கால,
Academic Term: ,கல்வி காலம்:,
Academic Year,கல்வி ஆண்டில்,
Academic Year: ,கல்வி ஆண்டில்:,
Accepted + Rejected Qty must be equal to Received quantity for Item {0},ஏற்கப்பட்டது + நிராகரிக்கப்பட்டது அளவு பொருள் பெறப்பட்டது அளவு சமமாக இருக்க வேண்டும் {0},
Accessable Value,அணுகக்கூடிய மதிப்பு,
Account,கணக்கு,
Account Number,கணக்கு எண்,
Account Number {0} already used in account {1},கணக்கு எண் {0} ஏற்கனவே கணக்கில் பயன்படுத்தப்படுகிறது {1},
Account Pay Only,கணக்கு சம்பளம்,
Account Type,கணக்கு வகை,
Account Type for {0} must be {1},கணக்கு வகை {0} இருக்க வேண்டும் {1},
"Account balance already in Credit, you are not allowed to set 'Balance Must Be' as 'Debit'","கணக்கு நிலுவை ஏற்கனவே கடன், நீங்கள் அமைக்க அனுமதி இல்லை 'டெபிட்' என 'சமநிலை இருக்க வேண்டும்'",
"Account balance already in Debit, you are not allowed to set 'Balance Must Be' as 'Credit'","ஏற்கனவே பற்று உள்ள கணக்கு நிலுவை, நீங்கள் 'கடன்' இருப்பு வேண்டும் 'அமைக்க அனுமதி இல்லை",
Account number for account {0} is not available.<br> Please setup your Chart of Accounts correctly.,கணக்கிற்கான கணக்கு எண் {0} கிடைக்கவில்லை. <br> தயவுசெய்து சரியாக உங்கள் கணக்கின் கணக்குகளை அமைக்கவும்.,
Account with child nodes cannot be converted to ledger,குழந்தை முனைகளில் கணக்கு பேரேடு மாற்றப்பட முடியாது,
Account with child nodes cannot be set as ledger,குழந்தை முனைகளில் கணக்கு பேரேடு அமைக்க முடியாது,
Account with existing transaction can not be converted to group.,ஏற்கனவே பரிவர்த்தனை கணக்கு குழு மாற்றப்பட முடியாது .,
Account with existing transaction can not be deleted,ஏற்கனவே பரிவர்த்தனை கணக்கு நீக்க முடியாது,
Account with existing transaction cannot be converted to ledger,ஏற்கனவே பரிவர்த்தனை கணக்கு பேரேடு மாற்றப்பட முடியாது,
