"""Customer Provided Item"" cannot be Purchase Item also","&quot;Товар, що надається клієнтом&quot;, також не може бути предметом придбання",
"""Customer Provided Item"" cannot have Valuation Rate","&quot;Елемент, що надається клієнтом&quot; не може мати показник оцінки",
"""Is Fixed Asset"" cannot be unchecked, as Asset record exists against the item","""Є основним засобом"" не може бути знято, оскільки існує запис засобу відносно об’єкту",
'Based On' and 'Group By' can not be same,"""Базується на"" і ""Згруповано за"" не можуть бути однаковими",
'Days Since Last Order' must be greater than or equal to zero,"""Днів з часу останнього замовлення"" має бути більше або дорівнювати нулю",
'Entries' cannot be empty,&quot;Записи&quot; не може бути порожнім,
'From Date' is required,"""Від дати"" є обов’язковим",
'From Date' must be after 'To Date',"""Від дати"" має бути раніше ""До дати""",
'Has Serial No' can not be 'Yes' for non-stock item,"""Має серійний номер"" не може бути ""Так"" для неінвентарного об’єкту",
'Opening',"""Відкривається""",
'To Case No.' cannot be less than 'From Case No.',"""До Випадку №"" не може бути менше, ніж ""З Випадку № '",
'To Date' is required,"""До Дати"" обов’язково",
'Total','Разом',
'Update Stock' can not be checked because items are not delivered via {0},"""Оновити Інвентар"" не може бути позначено, тому що об’єкти не доставляються через {0}",
'Update Stock' cannot be checked for fixed asset sale,"""Оновити запаси"" не може бути позначено для продажу основних засобів",
) for {0},) для {0},
1 exact match.,1 точна відповідність.,
90-Above,Понад 90,
A Customer Group exists with same name please change the Customer name or rename the Customer Group,"Група клієнтів з таким ім'ям вже існує. Будь ласка, змініть Ім'я клієнта або перейменуйте Групу клієнтів",
A Default Service Level Agreement already exists.,Угода про рівень обслуговування за замовчуванням вже існує.,
A Lead requires either a person's name or an organization's name,"Керівник вимагає або імені людини, або імені організації",
A customer with the same name already exists,Клієнт з тим самим ім&#39;ям вже існує,
A question must have more than one options,Питання повинно мати кілька варіантів,
A qustion must have at least one correct options,Зіткнення має мати принаймні один правильний варіант,
A {0} exists between {1} and {2} (,А {0} існує між {1} і {2} (,
A4,A4,
API Endpoint,Кінцева точка API,
API Key,ключ API,
Abbr can not be blank or space,Абревіатура не може бути пропущена або заповнена пробілами,
Abbreviation already used for another company,Скорочення вже використовується для іншої компанії,
Abbreviation cannot have more than 5 characters,"Скорочення не може мати більше, ніж 5 символів",
Abbreviation is mandatory,Скорочення є обов'язковим,
About the Company,Про компанію,
About your company,Про вашу компанію,
Above,Вище,
Absent,Відсутній,
Academic Term,Академічний термін,
Academic Term: ,Академічний термін:,
Academic Year,Навчальний рік,
Academic Year: ,Навчальний рік:,
Accepted + Rejected Qty must be equal to Received quantity for Item {0},Прийнята+Відхилена к-сть має дорівнювати кількостіЮ що надійшла для позиції {0},
Access Token,Маркер доступу,
Accessable Value,Доступна цінність,
Account,Рахунок,
Account Number,Номер рахунку,
Account Number {0} already used in account {1},Номер рахунку {0} вже використовувався на рахунку {1},
Account Pay Only,Рахунок Оплатити тільки,
Account Type,Тип рахунку,
Account Type for {0} must be {1},Тип рахунку для {0} повинен бути {1},
"Account balance already in Credit, you are not allowed to set 'Balance Must Be' as 'Debit'","Баланс рахунку вже в кредит, ви не можете встановити &quot;баланс повинен бути&quot;, як &quot;дебет&quot;",
"Account balance already in Debit, you are not allowed to set 'Balance Must Be' as 'Credit'","Баланс рахунку в дебет вже, ви не можете встановити &quot;баланс повинен бути&quot;, як &quot;Кредит»",
Account number for account {0} is not available.<br> Please setup your Chart of Accounts correctly.,"Номер рахунку для облікового запису {0} недоступний. <br> Будь ласка, правильно налаштуйте свою схему рахунків.",
Account with child nodes cannot be converted to ledger,"Рахунок з дочірніх вузлів, не можуть бути перетворені в бухгалтерській книзі",
Account with child nodes cannot be set as ledger,"Рахунок з дочірніх вузлів, не може бути встановлений як книгу",
Account with existing transaction can not be converted to group.,Рахунок з існуючою транзакції не можуть бути перетворені в групі.,
Account with existing transaction can not be deleted,Рахунок з існуючою транзакції не можуть бути вилучені,
Account with existing transaction cannot be converted to ledger,Рахунок з існуючою транзакції не можуть бути перетворені в бухгалтерській книзі,
Account {0} does not belong to company: {1},Рахунок {0} не належить компанії: {1},
Account {0} does not belongs to company {1},Рахунок {0} не належить компанії {1},
Account {0} does not exist,Рахунок {0} не існує,
Account {0} does not exists,Рахунок {0} не існує робить,
Account {0} does not match with Company {1} in Mode of Account: {2},Рахунок {0} не збігається з Компанією {1} в режимі рахунку: {2},
Account {0} has been entered multiple times,Рахунок {0} був введений кілька разів,
Account {0} is added in the child company {1},У дочірній компанії {1} додано рахунок {0},
Account {0} is frozen,Рахунок {0} заблоковано,
Account {0} is invalid. Account Currency must be {1},Рахунок {0} є неприпустимим. Валюта рахунку повинні бути {1},
Account {0}: Parent account {1} can not be a ledger,Рахунок {0}: Батьки рахунку {1} не може бути книга,
Account {0}: Parent account {1} does not belong to company: {2},Рахунок {0}: Батьківський рахунок {1} не належить компанії: {2},
Account {0}: Parent account {1} does not exist,Рахунок {0}: Батьківський рахунок не існує {1},
Account {0}: You can not assign itself as parent account,Рахунок {0}: Ви не можете призначити рахунок як батьківський до себе,
Account: {0} can only be updated via Stock Transactions,Рахунок: {0} може оновитися тільки операціями з інвентарем,
Account: {0} with currency: {1} can not be selected,Рахунок: {0} з валютою: {1} не може бути обраний,
Accountant,Бухгалтер,
Accounting,Бухгалтерський облік,
Accounting Entry for Asset,Облік входження до активів,
Accounting Entry for Stock,Проводки по запасах,
Accounting Entry for {0}: {1} can only be made in currency: {2},Облік Вхід для {0}: {1} можуть бути зроблені тільки у валюті: {2},
Accounting Ledger,Бухгалтерська книга,
Accounting journal entries.,Бухгалтерських журналів.,
Accounts,Бухгалтерські рахунки,
Accounts Manager,Диспетчер облікових записів,
Accounts Payable,Кредиторська заборгованість,
Accounts Payable Summary,Зведена кредиторська заборгованість,
Accounts Receivable,Дебіторська заборгованість,
Accounts Receivable Summary,Зведена дебіторська заборгованість,
Accounts User,Облікові записи користувачів,
Accounts table cannot be blank.,Облікові записи таблиці не може бути порожнім.,
Accrual Journal Entry for salaries from {0} to {1},Журнал накопичувального журналу про заробітну плату від {0} до {1},
Accumulated Depreciation,Накопичений знос,
Accumulated Depreciation Amount,Сума накопиченого зносу,
Accumulated Depreciation as on,Накопичений знос на,
Accumulated Monthly,Накопичений в місяць,
Accumulated Values,Накопичені значення,
Accumulated Values in Group Company,Накопичені цінності в групі компаній,
Achieved ({}),Досягнуто ({}),
Action,Дія,
Action Initialised,Дія ініціалізована,
Actions,Заходи,
Active,Активний,
Activity Cost exists for Employee {0} against Activity Type - {1},Діяльність Вартість існує для працівника {0} проти типу активність - {1},
Activity Cost per Employee,Діяльність Вартість одного працівника,
Activity Type,Тип діяльності,
Actual Cost,Фактична вартість,
Actual Delivery Date,Фактична дата доставки,
Actual Qty,Фактична к-сть,
Actual Qty is mandatory,Фактична к-сть обов'язкова,
Actual Qty {0} / Waiting Qty {1},Фактична Кількість {0} / Очікування Кількість {1},
