"""Customer Provided Item"" cannot be Purchase Item also","&quot;Xaridor tomonidan taqdim etilgan narsa&quot; shuningdek, xarid qilish obyekti bo&#39;lolmaydi",
"""Customer Provided Item"" cannot have Valuation Rate",&quot;Buyurtmachiga taqdim etilgan mahsulot&quot; baho qiymatiga ega bo&#39;lolmaydi,
"""Is Fixed Asset"" cannot be unchecked, as Asset record exists against the item","&quot;Ruxsat etilgan aktivlar&quot; ni belgilash mumkin emas, chunki ob&#39;ektga nisbatan Asset yozuvi mavjud",
'Based On' and 'Group By' can not be same,&#39;Based On&#39; va &#39;Group By&#39; bir xil bo&#39;lishi mumkin emas,
'Days Since Last Order' must be greater than or equal to zero,&quot;Oxirgi buyurtma beri o&#39;tgan kunlar&quot; noldan kattaroq yoki teng bo&#39;lishi kerak,
'Entries' cannot be empty,&quot;Yozuvlar&quot; bo&#39;sh bo&#39;lishi mumkin emas,
'From Date' is required,&quot;Sana&quot; so&#39;rovi talab qilinadi,
'From Date' must be after 'To Date',&quot;Sana&quot; kunidan keyin &quot;To Date&quot;,
'Has Serial No' can not be 'Yes' for non-stock item,&quot;Seriya Yo&#39;q&quot; yo&#39;q stokli mahsulot uchun &quot;Ha&quot; bo&#39;lishi mumkin emas,
'Opening',&quot;Ochilish&quot;,
'To Case No.' cannot be less than 'From Case No.',&quot;Ishga doir&quot; &quot;Aslida&quot; dan kam bo&#39;lishi mumkin emas.,
'To Date' is required,&quot;Sana uchun&quot; so&#39;raladi,
'Total',&quot;Umumiy&quot;,
'Update Stock' can not be checked because items are not delivered via {0},"&quot;Yangilash kabinetga&quot; tekshirilishi mumkin emas, chunki elementlar {0}",
'Update Stock' cannot be checked for fixed asset sale,&#39;Qimmatli qog&#39;ozlar yangilanishi&#39; moddiy aktivlarni sotish uchun tekshirib bo&#39;lmaydi,
) for {0},) uchun {0},
1 exact match.,1 ta mos kelish.,
90-Above,90-yuqorida,
A Customer Group exists with same name please change the Customer name or rename the Customer Group,"Xaridorlar guruhi shu nom bilan mavjud bo&#39;lib, xaridor nomini o&#39;zgartiring yoki xaridorlar guruhini o&#39;zgartiring",
A Default Service Level Agreement already exists.,Standart xizmat darajasi to&#39;g&#39;risidagi shartnoma allaqachon mavjud.,
A Lead requires either a person's name or an organization's name,Etakchi shaxsning ismini yoki tashkilot nomini talab qiladi,
A customer with the same name already exists,Xuddi shu nomga ega bo&#39;lgan mijoz allaqachon mavjud,
A question must have more than one options,Savolda bir nechta variant bo&#39;lishi kerak,
A qustion must have at least one correct options,Qustion kamida bitta to&#39;g&#39;ri tanlovga ega bo&#39;lishi kerak,
A {0} exists between {1} and {2} (,{1} va {2} () o&#39;rtasida {0} mavjud,
Abbr can not be blank or space,Abbr bo&#39;sh yoki bo&#39;sh joy bo&#39;la olmaydi,
Abbreviation already used for another company,Qisqartma boshqa kompaniya uchun ishlatilgan,
Abbreviation cannot have more than 5 characters,Qisqartirishda 5dan ortiq belgi bo&#39;lishi mumkin emas,
Abbreviation is mandatory,Qisqartirish majburiydir,
About the Company,Kompaniya haqida,
About your company,Sizning kompaniyangiz haqida,
Above,Yuqorida,
Absent,Yo&#39;q,
Academic Term,Akademik atamalar,
Academic Term: ,Akademik atamalar:,
Academic Year,O&#39;quv yili,
Academic Year: ,O&#39;quv yil:,
Accepted + Rejected Qty must be equal to Received quantity for Item {0},"Qabul qilingan + Rad etilgan Qty, {0}",
Accessable Value,Kirish mumkin bo&#39;lgan qiymat,
Account,Hisob,
Account Number,Hisob raqami,
Account Number {0} already used in account {1},Hisob raqami {0} allaqachon {1} hisobida ishlatilgan,
Account Pay Only,Hisob faqatgina to&#39;laydi,
Account Type,Hisob turi,
Account Type for {0} must be {1},{0} uchun hisob turi {1} bo&#39;lishi kerak,
"Account balance already in Credit, you are not allowed to set 'Balance Must Be' as 'Debit'",Hisob balansida allaqachon Kreditda &#39;Balans Must Be&#39; deb ataladigan &#39;Debit&#39;,
"Account balance already in Debit, you are not allowed to set 'Balance Must Be' as 'Credit'","Debet-da hisob balansi mavjud bo&#39;lsa, sizda &quot;Balance Must Be&quot; (&quot;Balans Must Be&quot;) &quot;Credit&quot;",
Account number for account {0} is not available.<br> Please setup your Chart of Accounts correctly.,"{0} hisob qaydnomasi raqami mavjud emas. <br> Iltimos, Hisoblar jadvalini to'g'ri sozlang.",
Account with child nodes cannot be converted to ledger,Bola tugunlari bilan hisob qaydnomasiga o&#39;tkazilmaydi,
Account with child nodes cannot be set as ledger,"Bola düğümleri bo&#39;lgan hisob, kitoblar sifatida ayarlanamaz",
Account with existing transaction can not be converted to group.,Mavjud tranzaktsiyadagi hisobni guruhga aylantirish mumkin emas.,
Account with existing transaction can not be deleted,Mavjud amal bilan hisob o&#39;chirilmaydi,
Account with existing transaction cannot be converted to ledger,Mavjud bitim bilan hisob qaydnomasiga o&#39;tkazilmaydi,
Account {0} does not belong to company: {1},{0} hisobiga kompaniya tegishli emas: {1},
Account {0} does not belongs to company {1},Hisob {0} kompaniya {1} ga tegishli emas,
Account {0} does not exist,{0} hisobi mavjud emas,
Account {0} does not exists,Hisob {0} mavjud emas,
Account {0} does not match with Company {1} in Mode of Account: {2},Hisob {0} Hisob holatida Kompaniya {1} bilan mos emas: {2},
Account {0} has been entered multiple times,{0} hisobi bir necha marta kiritilgan,
Account {0} is added in the child company {1},{1} bolalar kompaniyasiga {0} hisobi qo&#39;shildi,
Account {0} is frozen,{0} hisobi muzlatilgan,
Account {0} is invalid. Account Currency must be {1},Hisob {0} yaroqsiz. Hisob valyutasi {1} bo&#39;lishi kerak,
Account {0}: Parent account {1} can not be a ledger,Hisob {0}: Ota-hisob {1} hisob kitobi bo&#39;lishi mumkin emas,
Account {0}: Parent account {1} does not belong to company: {2},Hisob {0}: Ota-hisob {1} kompaniyaga tegishli emas: {2},
Account {0}: Parent account {1} does not exist,Hisob {0}: Ota-hisob {1} mavjud emas,
Account {0}: You can not assign itself as parent account,Hisob {0}: Siz uni yuqori hisob sifatida belgilashingiz mumkin emas,
