"""Customer Provided Item"" cannot be Purchase Item also",«វត្ថុដែលផ្តល់ឲ្យដោយអតិថិជន» មិនអាចជាវត្ថុសំរាប់ទិញនោះផងទេ,
"""Customer Provided Item"" cannot have Valuation Rate",«វត្ថុដែលផ្តល់ឲ្យដោយអតិថិជន» មិនអាចមានអត្រាវាយតម្លៃទេ,
"""Is Fixed Asset"" cannot be unchecked, as Asset record exists against the item",«តើអចលន &quot;មិនអាចត្រូវបានធីកមានទ្រព្យសម្បត្តិដែលជាកំណត់ត្រាប្រឆាំងនឹងធាតុ,
'Based On' and 'Group By' can not be same,"'ដោយផ្អែកលើ ""និង"" ក្រុមដោយ' មិនអាចដូចគ្នា",
'Days Since Last Order' must be greater than or equal to zero,"""ចាប់ទាំងពីថ្ងៃបញ្ជាចុងក្រោយ 'ត្រូវតែធំជាងឬស្មើសូន្យ",
'Entries' cannot be empty,"""ទិន្នន័យ"" មិនអាចទទេ",
'From Date' is required,&quot;ពីកាលបរិច្ឆេទ &#39;ត្រូវបានទាមទារ,
'From Date' must be after 'To Date',"""ពីកាលបរិច្ឆេទ"" ត្រូវតែនៅបន្ទាប់ ""ដល់កាលបរិច្ឆេទ""",
'Has Serial No' can not be 'Yes' for non-stock item,'មានលេខសៀរៀល' មិនអាចជ្រើសរើសបានទេ សំរាប់ផលិតផលដែលមិនរាប់ស្តុក,
'Opening',&quot;ការបើក&quot;,
'To Case No.' cannot be less than 'From Case No.',&#39;ដើម្បីសំណុំរឿងលេខ &quot; មិនអាចតិចជាងពីសំណុំរឿងលេខ &quot;,
'To Date' is required,&#39;ដើម្បីកាលបរិច្ឆេទ&#39; ត្រូវបានទាមទារ,
'Total',&quot;សរុប&quot;,
'Update Stock' can not be checked because items are not delivered via {0},"""Update ស្តុក 'មិនអាចជ្រើសរើសបាន ដោយសារ មុខទំនិញមិនត្រូវបានដឹកជញ្ជូនតាមរយៈ {0}",
'Update Stock' cannot be checked for fixed asset sale,"""Update ស្តុក 'មិនអាចជ្រើសរើសបានចំពោះទ្រព្យអសកម្ម",
) for {0},) សម្រាប់ {0},
1 exact match.,ការផ្គូផ្គងពិតប្រាកដ ១ ។,
90-Above,90 - ខាងលើ,
A Customer Group exists with same name please change the Customer name or rename the Customer Group,គ្រុបអតិថិជនដែលមានឈ្មោះដូចគ្នាសូមផ្លាស់ប្តូរឈ្មោះរបស់អតិថិជនឬប្តូរឈ្មោះក្រុមរបស់អតិថិជន,
A Default Service Level Agreement already exists.,កិច្ចព្រមព្រៀងកម្រិតសេវាកម្មលំនាំដើមមានរួចហើយ។,
A Lead requires either a person's name or an organization's name,ការនាំមុខតម្រូវឱ្យមានទាំងឈ្មោះរបស់មនុស្សឬឈ្មោះរបស់អង្គការ។,
A customer with the same name already exists,អតិថិជនដែលមានឈ្មោះដូចគ្នាមានរួចហើយ,
A question must have more than one options,សំណួរមួយត្រូវតែមានជំរើសច្រើនជាងមួយ។,
A qustion must have at least one correct options,យ៉ាងហោចណាស់សត្វព្រៃត្រូវតែមានជម្រើសត្រឹមត្រូវយ៉ាងហោចណាស់មួយ។,
A {0} exists between {1} and {2} (,មួយ {0} មានរវាង {1} និង {2} (,
A4,រថយន្ត A4,
API Endpoint,ចំណុចបញ្ចប់ API,
API Key,កូនសោ API,
Abbr can not be blank or space,Abbr មិនអាចមាននៅទទេឬទំហំ,
Abbreviation already used for another company,អក្សរសង្ខេបដែលបានប្រើរួចហើយសម្រាប់ក្រុមហ៊ុនផ្សេងទៀត,
Abbreviation cannot have more than 5 characters,អក្សរកាត់មិនអាចមានច្រើនជាង 5 តួអក្សរ,
Abbreviation is mandatory,អក្សរកាត់គឺជាការចាំបាច់,
About the Company,អំពីក្រុមហ៊ុន,
About your company,អំពីក្រុមហ៊ុនរបស់អ្នក,
Above,ខាងលើ,
Absent,អវត្តមាន,
Academic Term,រយៈពេលនៃការសិក្សា,
Academic Term: ,រយៈពេលសិក្សា:,
Academic Year,ឆ្នាំសិក្សា,
Academic Year: ,ឆ្នាំសិក្សា:,
Accepted + Rejected Qty must be equal to Received quantity for Item {0},+ ទទួលយកបានច្រានចោល Qty ត្រូវតែស្មើនឹងទទួលបានបរិមាណសម្រាប់ធាតុ {0},
Access Token,ការចូលដំណើរការ Token,
Accessable Value,តម្លៃដែលអាចចូលបាន,
Account,គណនី,
Account Number,លេខគណនី,
Account Number {0} already used in account {1},លេខគណនី {0} ដែលបានប្រើរួចហើយនៅក្នុងគណនី {1},
Account Pay Only,មានតែគណនីប្រាក់,
Account Type,ប្រភេទគណនី,
Account Type for {0} must be {1},ប្រភេទគណនីសម្រាប់ {0} ត្រូវតែជា {1},
"Account balance already in Credit, you are not allowed to set 'Balance Must Be' as 'Debit'","សមតុល្យគណនីរួចហើយនៅក្នុងឥណទាន, អ្នកមិនត្រូវបានអនុញ្ញាតឱ្យកំណត់ទឹកប្រាក់ត្រូវតែ &quot;ជា&quot; ឥណពន្ធ",
"Account balance already in Debit, you are not allowed to set 'Balance Must Be' as 'Credit'","សមតុល្យគណនីរួចហើយនៅក្នុងឥណពន្ធ, អ្នកមិនត្រូវបានអនុញ្ញាតឱ្យកំណត់ទឹកប្រាក់ត្រូវតែ &quot;ជា&quot; ឥណទាន &quot;",
Account number for account {0} is not available.<br> Please setup your Chart of Accounts correctly.,លេខគណនីសម្រាប់គណនី {0} មិនមានទេ។ <br> សូមរៀបចំតារាងគណនីរបស់អ្នកឱ្យបានត្រឹមត្រូវ។,
Account with child nodes cannot be converted to ledger,គណនីជាមួយថ្នាំងជាកុមារមិនអាចត្រូវបានបម្លែងទៅសៀវភៅ,
Account with child nodes cannot be set as ledger,គណនីជាមួយថ្នាំងជាកូនក្មេងដែលមិនអាចត្រូវបានកំណត់ជាសៀវភៅ,
Account with existing transaction can not be converted to group.,គណនីប្រតិបត្តិការដែលមានស្រាប់ដែលមិនអាចត្រូវបានបម្លែងទៅជាក្រុម។,
Account with existing transaction can not be deleted,គណនីប្រតិបត្តិការដែលមានស្រាប់ដែលមិនអាចត្រូវបានលុប,
Account with existing transaction cannot be converted to ledger,គណនីប្រតិបត្តិការដែលមានស្រាប់ដែលមិនអាចត្រូវបានបម្លែងទៅជាសៀវភៅ,
Account {0} does not belong to company: {1},គណនី {0} មិនមែនជាកម្មសិទ្ធិរបស់ក្រុមហ៊ុន: {1},
Account {0} does not belongs to company {1},គណនី {0} មិនជាកម្មសិទ្ធិរបស់ក្រុមហ៊ុន {1},
Account {0} does not exist,គណនី {0} មិនមាន,
Account {0} does not exists,គណនី {0} មិនមាន,
Account {0} does not match with Company {1} in Mode of Account: {2},គណនី {0} មិនផ្គូផ្គងនឹងក្រុមហ៊ុន {1} នៅក្នុងរបៀបនៃគណនី: {2},
Account {0} has been entered multiple times,គណនី {0} ត្រូវបានបញ្ចូលច្រើនដង,
Account {0} is added in the child company {1},គណនី {0} ត្រូវបានបន្ថែមនៅក្នុងក្រុមហ៊ុនកុមារ {1},
Account {0} is frozen,គណនី {0} គឺការកក,
Account {0} is invalid. Account Currency must be {1},គណនី {0} មិនត្រឹមត្រូវ។ រូបិយប័ណ្ណគណនីត្រូវតែ {1},
Account {0}: Parent account {1} can not be a ledger,គណនី {0}: គណនីមាតាបិតា {1} មិនអាចជាសៀវភៅមួយ,
Account {0}: Parent account {1} does not belong to company: {2},គណនី {0}: គណនីមាតាបិតា {1} មិនមែនជាកម្មសិទ្ធិរបស់ក្រុមហ៊ុន: {2},
Account {0}: Parent account {1} does not exist,គណនី {0}: គណនីមាតាបិតា {1} មិនមាន,
Account {0}: You can not assign itself as parent account,គណនី {0}: អ្នកមិនអាចកំណត់ដោយខ្លួនវាជាគណនីឪពុកម្តាយ,
Account: {0} can only be updated via Stock Transactions,គណនី: {0} អាច Update បានតាមរយៈប្រត្តិបត្តិការស្តុកតែប៉ុណ្ណោះ។,
Account: {0} with currency: {1} can not be selected,គណនី: {0} ដែលមានរូបិយប័ណ្ណ: {1} មិនអាចត្រូវបានជ្រើស &amp; ‧;,
Accountant,គណនេយ្យករ,
Accounting,គណនេយ្យ,
Accounting Entry for Asset,ធាតុគណនេយ្យសម្រាប់ទ្រព្យសម្បត្តិ,
Accounting Entry for Stock,ប្រត្តិប័ត្រការគណនេយ្យសំរាប់ស្តុក,
Accounting Entry for {0}: {1} can only be made in currency: {2},គណនេយ្យធាតុសម្រាប់ {0} {1} អាចត្រូវបានធ្វើតែនៅក្នុងរូបិយប័ណ្ណ: {2},
Accounting Ledger,គណនេយ្យសៀវភៅធំ,
Accounting journal entries.,ធាតុទិនានុប្បវត្តិគណនេយ្យ។,
Accounts,គណនី,
Accounts Manager,ការគ្រប់គ្រងគណនី,
Accounts Payable,គណនីទូទាត់,
Accounts Payable Summary,គណនីចងការប្រាក់សង្ខេប,
Accounts Receivable,គណនីអ្នកទទួល,
Accounts Receivable Summary,គណនីសង្ខេបទទួល,
Accounts User,គណនីអ្នកប្រើប្រាស់,
Accounts table cannot be blank.,តារាងគណនីមិនអាចទទេ។,
Accrual Journal Entry for salaries from {0} to {1},បញ្ចូលធាតុទិនានុប្បវត្តិសម្រាប់ប្រាក់ខែពី {0} ដល់ {1},
Accumulated Depreciation,រំលស់បង្គរ,
Accumulated Depreciation Amount,ចំនួនទឹកប្រាក់រំលស់បង្គរ,
Accumulated Depreciation as on,បង្គររំលស់ដូចជានៅលើ,
Accumulated Monthly,បង្គរប្រចាំខែ,
Accumulated Values,តម្លៃបង្គរ,
Accumulated Values in Group Company,គុណតម្លៃសន្សំក្នុងក្រុមហ៊ុន,
Achieved ({}),បានសំរេច ({}),
Action,សកម្មភាព,
Action Initialised,សកម្មភាពត្រូវបានចាប់ផ្តើម។,
Actions,ការប្រព្រឹត្ដ,
Active,សកម្ម,
Activity Cost exists for Employee {0} against Activity Type - {1},សកម្មភាពមានសម្រាប់ការចំណាយបុគ្គលិក {0} ប្រឆាំងនឹងប្រភេទសកម្មភាព - {1},
Activity Cost per Employee,តម្លៃសកម្មភាពដោយបុគ្គលិក,
Activity Type,ប្រភេទសកម្មភាព,
Actual Cost,ការចំណាយជាក់ស្តែង។,
Actual Delivery Date,កាលបរិច្ឆេទដឹកជញ្ជូនពិតប្រាកដ។,
Actual Qty,ជាក់ស្តែ Qty,
Actual Qty is mandatory,ជាក់ស្តែ Qty ចាំបាច់,
Actual Qty {0} / Waiting Qty {1},ជាក់ស្តែង Qty {0} / រង់ចាំ Qty {1},
Actual Qty: Quantity available in the warehouse.,Qty ជាក់ស្តែង: បរិមាណដែលអាចរកបាននៅក្នុងឃ្លាំង។,
Actual qty in stock,បរិមាណជាក់ស្តែងនៅក្នុងស្តុក,
Actual type tax cannot be included in Item rate in row {0},ពន្ធលើប្រភេទពិតប្រាកដមិនអាចត្រូវបានរួមបញ្ចូលនៅក្នុងអត្រាធាតុនៅក្នុងជួរដេក {0},
Add,បន្ថែម,
Add / Edit Prices,បន្ថែម / កែសម្រួលតម្លៃទំនិញ,
Add Comment,បន្ថែមសេចក្តីអធិប្បាយ,
Add Customers,បន្ថែមអតិថិជន,
Add Employees,បន្ថែម បុគ្គលិក,
Add Item,បញ្ចូលមុខទំនិញ,
Add Items,បញ្ចូលមុខទំនិញ,
Add Leads,បន្ថែមមេ,
Add Multiple Tasks,បន្ថែមភារកិច្ចច្រើន,
Add Row,បន្ថែមជួរដេក,
Add Sales Partners,បន្ថែមដៃគូលក់,
Add Serial No,បន្ថែមគ្មានសៀរៀល,
Add Students,បន្ថែមសិស្ស,
Add Suppliers,បន្ថែមអ្នកផ្គត់ផ្គង់,
Add Time Slots,បន្ថែមរន្ធពេលវេលា,
Add Timesheets,បន្ថែម Timesheets,
Add Timeslots,បន្ថែមពេលវេលា,
Add Users to Marketplace,បន្ថែមអ្នកប្រើប្រាស់ទៅក្នុងទីផ្សារ,
Add a new address,បន្ថែមអាសយដ្ឋានថ្មី។,
Add cards or custom sections on homepage,បន្ថែមកាតឬផ្នែកផ្ទាល់ខ្លួននៅលើគេហទំព័រ។,
Add more items or open full form,បញ្ចូលមុខទំនិញបន្ថែមឬទម្រង់ពេញលេញបើកចំហ,
Add notes,បន្ថែមកំណត់ចំណាំ។,
Add the rest of your organization as your users. You can also add invite Customers to your portal by adding them from Contacts,បន្ថែមនៅសល់នៃអង្គការរបស់អ្នកដែលជាអ្នកប្រើរបស់អ្នក។ អ្នកអាចបន្ថែមទៅក្នុងវិបផតថលអតិថិជនដែលអញ្ជើញរបស់អ្នកដោយបន្ថែមពួកគេពីការទំនាក់ទំនង,
Add to Details,បន្ថែមទៅព័ត៌មានលម្អិត,
Add/Remove Recipients,បន្ថែម / យកអ្នកទទួល,
Added,បានបន្ថែម,
Added to details,បានបន្ថែមទៅព័ត៌មានលម្អិត,
Added {0} users,បានបន្ថែម {0} អ្នកប្រើ,
Additional Salary Component Exists.,សមាសភាគប្រាក់ខែបន្ថែម។,
