"""Customer Provided Item"" cannot be Purchase Item also","""Товар, предоставленный клиентом"" не может быть предметом покупки",
"""Customer Provided Item"" cannot have Valuation Rate","""Предоставленный клиентом товар"" не может иметь оценку",
"""Is Fixed Asset"" cannot be unchecked, as Asset record exists against the item","Нельзя убрать отметку ""Является основным средством"", поскольку по данному пункту имеется запись по активам",
'Based On' and 'Group By' can not be same,'На основании' и 'Группировка по' не могут быть одинаковыми,
'Days Since Last Order' must be greater than or equal to zero,'Дней с момента последнего заказа' должно быть больше или равно 0,
'Entries' cannot be empty,'Записи' не могут быть пустыми,
'From Date' is required,Поле 'С даты' является обязательным для заполнения,
'From Date' must be after 'To Date',Значение 'С даты' должно быть после 'До даты',
'Has Serial No' can not be 'Yes' for non-stock item,'Имеет серийный номер' не может быть 'Да' для нескладируемого продукта,
'Opening','Открытие',
'To Case No.' cannot be less than 'From Case No.',"'До дела №' не может быть меньше, чем 'От дела №'",
'To Date' is required,Поле 'До Даты' является обязательным для заполнения,
'Total','Итого',
'Update Stock' can not be checked because items are not delivered via {0},"Нельзя выбрать 'Обновить запасы', так как продукты не поставляются через {0}",
'Update Stock' cannot be checked for fixed asset sale,"'Обновить запасы' нельзя выбрать при продаже основных средств",
) for {0},) для {0},
1 exact match.,1 точное совпадение.,
90-Above,90-Над,
A Customer Group exists with same name please change the Customer name or rename the Customer Group,"Группа клиентов с таким именем уже существует. Пожалуйста, измените имя клиента или имя группы клиентов",
A Default Service Level Agreement already exists.,Соглашение об уровне обслуживания по умолчанию уже существует.,
A Lead requires either a person's name or an organization's name,"Ведущий требует либо имя человека, либо название организации",
A customer with the same name already exists,Клиент с тем же именем уже существует,
A question must have more than one options,Вопрос должен иметь более одного варианта,
A qustion must have at least one correct options,У q должно быть хотя бы одно правильное значение,
A {0} exists between {1} and {2} (,{0} находится между {1} и {2} (,
A4,A4,
API Endpoint,Конечная точка API,
API Key,API Ключ,
Abbr can not be blank or space,Аббревиатура не может быть пустой или пробелом,
Abbreviation already used for another company,Сокращение уже используется для другой компании,
Abbreviation cannot have more than 5 characters,Аббревиатура не может иметь более 5 символов,
Abbreviation is mandatory,Сокращение является обязательным,
About the Company,О компании,
About your company,О вашей компании,
Above,Выше,
Absent,Отсутствует,
Academic Term,Семестр,
Academic Term: ,Срок обучения:,
Academic Year,Учебный год,
Academic Year: ,Академический год:,
Accepted + Rejected Qty must be equal to Received quantity for Item {0},Кол-во принятых + отклонённых должно быть равно полученному количеству продукта {0},
Access Token,Маркер доступа,
Accessable Value,Доступная стоимость,
Account,Аккаунт,
Account Number,Номер аккаунта,
Account Number {0} already used in account {1},"Номер счета {0}, уже использованный в учетной записи {1}",
Account Pay Only,Только оплатить счет,
Account Type,Тип учетной записи,
Account Type for {0} must be {1},Тип счета для {0} должен быть {1},
"Account balance already in Credit, you are not allowed to set 'Balance Must Be' as 'Debit'","Баланс счета в Кредите, запрещена установка 'Баланс должен быть' как 'Дебет'",
"Account balance already in Debit, you are not allowed to set 'Balance Must Be' as 'Credit'","Баланс счета в Дебете, запрещена установка 'Баланс должен быть' как 'Кредит'",
Account number for account {0} is not available.<br> Please setup your Chart of Accounts correctly.,Номер учетной записи для учетной записи {0} недоступен. <br> Правильно настройте свой план счетов.,
Account with child nodes cannot be converted to ledger,"Счет, имеющий субсчета не может быть преобразован в регистр",
Account with child nodes cannot be set as ledger,"Счет с дочерних узлов, не может быть установлен как книгу",
Account with existing transaction can not be converted to group.,Счет существующей проводки не может быть преобразован в группу.,
Account with existing transaction can not be deleted,Счет с существующими проводками не может быть удален,
Account with existing transaction cannot be converted to ledger,Счет с существующими проводками не может быть преобразован в регистр,
Account {0} does not belong to company: {1},Аккаунт {0} не принадлежит компании: {1},
Account {0} does not belongs to company {1},Счет {0} не принадлежит компании {1},
Account {0} does not exist,Аккаунт {0} не существует,
Account {0} does not exists,Счет {0} не существует,
Account {0} does not match with Company {1} in Mode of Account: {2},Учетная запись {0} не совпадает с компанией {1} в Способе учетной записи: {2},
Account {0} has been entered multiple times,Счёт {0} был введен несколько раз,
Account {0} is added in the child company {1},Учетная запись {0} добавлена в дочернюю компанию {1},
Account {0} is frozen,Счет {0} заморожен,
Account {0} is invalid. Account Currency must be {1},Счёт {0} является недопустимым. Валюта счёта должна быть {1},
Account {0}: Parent account {1} can not be a ledger,Счет {0}: Родительский счет {1} не может быть регистром,
Account {0}: Parent account {1} does not belong to company: {2},Счет {0}: Родитель счета {1} не принадлежит компании: {2},
Account {0}: Parent account {1} does not exist,Счет {0}: Родитель счета {1} не существует,
Account {0}: You can not assign itself as parent account,Счёт {0}: Вы не можете  назначить самого себя родительским счётом,
Account: {0} can only be updated via Stock Transactions,Счет: {0} можно обновить только через  перемещение по складу,
Account: {0} with currency: {1} can not be selected,Счет: {0} с валютой: {1} не может быть выбран,
Accountant,Бухгалтер,
Accounting,Бухгалтерия,
Accounting Entry for Asset,Учетная запись для активов,
Accounting Entry for Stock,Бухгалтерская Проводка по Запасам,
Accounting Entry for {0}: {1} can only be made in currency: {2},Бухгалтерская Проводка для {0}: {1} может быть сделана только в валюте: {2},
Accounting Ledger,Бухгалтерская книга,
Accounting journal entries.,Журнал бухгалтерских записей.,
Accounts,Счета,
Accounts Manager,Диспетчер счетов,
Accounts Payable,Счета к оплате,
Accounts Payable Summary,Сводка кредиторской задолженности,
Accounts Receivable,Дебиторская задолженность,
Accounts Receivable Summary,Сводка дебиторской задолженности,
Accounts User,Пользователь Счетов,
Accounts table cannot be blank.,Таблица учета не может быть пустой.,
Accrual Journal Entry for salaries from {0} to {1},Запись журнала начислений для зарплат от {0} до {1},
Accumulated Depreciation,начисленной амортизации,
Accumulated Depreciation Amount,Сумма начисленной амортизации,
Accumulated Depreciation as on,Накопленная амортизация на,
Accumulated Monthly,Накопленный в месяц,
Accumulated Values,Накопленные значения,
Accumulated Values in Group Company,Накопленные ценности в группе компаний,
Achieved ({}),Выполнено ({}),
Action,Действие,
Action Initialised,Действие инициализировано,
Actions,Действия,
Active,Активен,
Activity Cost exists for Employee {0} against Activity Type - {1},Стоимость деятельности существует для сотрудника {0} но указанный тип деятельности - {1},
