"""Customer Provided Item"" cannot be Purchase Item also",&quot;গ্রাহক প্রদত্ত আইটেম&quot; ক্রয় আইটেমও হতে পারে না,
"""Customer Provided Item"" cannot have Valuation Rate",&quot;গ্রাহক সরবরাহিত আইটেম&quot; এর মূল্য মূল্য হতে পারে না,
"""Is Fixed Asset"" cannot be unchecked, as Asset record exists against the item",", অবারিত হতে পারে না যেমন অ্যাসেট রেকর্ড আইটেমটি বিরুদ্ধে বিদ্যমান &quot;ফিক্সড সম্পদ&quot;",
'Based On' and 'Group By' can not be same,'গ্রুপ দ্বারা' এবং 'উপর ভিত্তি করে' একই হতে পারে না,
'Days Since Last Order' must be greater than or equal to zero,'সর্বশেষ অর্ডার থেকে এখন পর্যন্ত হওয়া দিনের সংখ্যা' শূন্য এর চেয়ে বড় বা সমান হতে হবে,
'Entries' cannot be empty,&#39;এন্ট্রি&#39; খালি রাখা যাবে না,
'From Date' is required,'শুরুর তারিখ' প্রয়োজন,
'From Date' must be after 'To Date','তারিখ থেকে' অবশ্যই 'তারিখ পর্যন্ত' এর পরে হতে হবে,
'Has Serial No' can not be 'Yes' for non-stock item,'সিরিয়াল নং আছে' কখনই নন-ষ্টক আইটেমের ক্ষেত্রে 'হ্যাঁ' হতে পারবে না,
'Opening',' শুরু',
'To Case No.' cannot be less than 'From Case No.','কেস নংপর্যন্ত' কখনই 'কেস নং থেকে' এর চেয়ে কম হতে পারে না,
'To Date' is required,'তারিখ পর্যন্ত' প্রয়োজন,
'Total',সর্বমোট,
'Update Stock' can not be checked because items are not delivered via {0},"আইটেম মাধ্যমে বিতরণ করা হয় না, কারণ &#39;আপডেট স্টক চেক করা যাবে না {0}",
'Update Stock' cannot be checked for fixed asset sale,&#39;আপডেট শেয়ার&#39; স্থায়ী সম্পদ বিক্রি চেক করা যাবে না,
) for {0},) জন্য {0},
1 exact match.,1 সঠিক ম্যাচ।,
90-Above,90-উপরে,
A Customer Group exists with same name please change the Customer name or rename the Customer Group,একটি গ্রাহক গ্রুপ একই নামের সঙ্গে বিদ্যমান গ্রাহকের নাম পরিবর্তন বা ক্রেতা গ্রুপ নামান্তর করুন,
A Default Service Level Agreement already exists.,একটি ডিফল্ট পরিষেবা স্তর চুক্তি ইতিমধ্যে বিদ্যমান।,
A Lead requires either a person's name or an organization's name,লিডের জন্য কোনও ব্যক্তির নাম বা সংস্থার নাম প্রয়োজন,
A customer with the same name already exists,একই নামের একটি গ্রাহক ইতিমধ্যে বিদ্যমান,
A question must have more than one options,একটি প্রশ্নের অবশ্যই একাধিক বিকল্প থাকতে হবে,
A qustion must have at least one correct options,একটি দণ্ডে কমপক্ষে একটি সঠিক বিকল্প থাকতে হবে,
A {0} exists between {1} and {2} (,{1} এবং {2} এর মধ্যে একটি {0} বিদ্যমান,
A4,A4,
API Endpoint,API এন্ডপয়েন্ট,
API Key,API কী,
Abbr can not be blank or space,সংক্ষিপ্তকরণ ফাঁকা বা স্থান হতে পারে না,
Abbreviation already used for another company,সমাহার ইতিমধ্যে অন্য কোম্পানীর জন্য ব্যবহৃত,
Abbreviation cannot have more than 5 characters,অধিক 5 অক্ষর থাকতে পারে না সমাহার,
Abbreviation is mandatory,সমাহার বাধ্যতামূলক,
About the Company,প্রতিষ্ঠানটি সম্পর্কে,
About your company,আপনার কোম্পানি সম্পর্কে,
Above,উপরে,
Absent,অনুপস্থিত,
Academic Term,একাডেমিক টার্ম,
Academic Term: ,একাডেমিক টার্ম:,
Academic Year,শিক্ষাবর্ষ,
Academic Year: ,শিক্ষাবর্ষ:,
Accepted + Rejected Qty must be equal to Received quantity for Item {0},Qty পরিত্যক্ত গৃহীত + আইটেম জন্য গৃহীত পরিমাণ সমান হতে হবে {0},
Access Token,অ্যাক্সেস টোকেন,
