"""Customer Provided Item"" cannot be Purchase Item also",&quot;Predmet koji pruža klijent&quot; takođe ne može biti predmet kupovine,
"""Customer Provided Item"" cannot have Valuation Rate",&quot;Predmet koji pruža klijent&quot; ne može imati stopu vrednovanja,
"""Is Fixed Asset"" cannot be unchecked, as Asset record exists against the item","&quot;Da li je osnovno sredstvo&quot; ne može biti označeno, kao rekord imovine postoji u odnosu na stavku",
'Based On' and 'Group By' can not be same,' Temelji se na' i 'Grupisanje po ' ne mogu biti isti,
'Days Since Last Order' must be greater than or equal to zero,' Dana od poslednje porudzbine ' mora biti veći ili jednak nuli,
'Entries' cannot be empty,' Prijave ' ne može biti prazno,
'From Date' is required,' Od datuma ' je potrebno,
'From Date' must be after 'To Date',"' Od datuma ' mora biti poslije ' Do datuma""",
'Has Serial No' can not be 'Yes' for non-stock item,' Ima serijski broj ' ne može biti ' Da ' za artikle bez zalihe,
'Opening',&#39;Otvaranje&#39;,
'To Case No.' cannot be less than 'From Case No.','Za slucaj br' ne može biti manji od 'Od slucaja br',
'To Date' is required,' Do datuma ' je obavezno,
'Total',&#39;Ukupno&#39;,
'Update Stock' can not be checked because items are not delivered via {0},'Azuriranje zalihe' se ne može provjeriti jer artikli nisu dostavljeni putem {0},
'Update Stock' cannot be checked for fixed asset sale,&#39;Update Stock&#39; ne može se provjeriti na prodaju osnovnih sredstava,
) for {0},) za {0},
1 exact match.,1 tačno podudaranje.,
90-Above,Iznad 90,
A Customer Group exists with same name please change the Customer name or rename the Customer Group,Grupa kupaca sa istim nazivom već postoji. Promijenite naziv kupca ili promijenite naziv grupe kupaca.,
A Default Service Level Agreement already exists.,Ugovor o nivou usluge već postoji.,
A Lead requires either a person's name or an organization's name,Voditelj zahteva ili ime osobe ili ime organizacije,
A customer with the same name already exists,Kupac sa istim imenom već postoji,
A question must have more than one options,Pitanje mora imati više opcija,
A qustion must have at least one correct options,Qurance mora imati najmanje jednu ispravnu opciju,
A {0} exists between {1} and {2} (,A {0} postoji između {1} i {2} (,
A4,A4,
API Endpoint,API Endpoint,
API Key,API Key,
Abbr can not be blank or space,Skraćeno ne može biti prazan ili prostora,
Abbreviation already used for another company,Skraćenica već koristi za druge kompanije,
Abbreviation cannot have more than 5 characters,Skraćeni naziv ne može imati više od 5 znakova,
Abbreviation is mandatory,Skraćenica je obavezno,
About the Company,O kompaniji,
About your company,O vašoj kompaniji,
Above,Iznad,
Absent,Odsutan,
Academic Term,akademski Term,
Academic Term: ,Akademski termin:,
Academic Year,Akademska godina,
Academic Year: ,Akademska godina:,
Accepted + Rejected Qty must be equal to Received quantity for Item {0},Količina prihvaćeno + odbijeno mora biti jednaka zaprimljenoj količini proizvoda {0},
Access Token,Access Token,
Accessable Value,Dostupna vrednost,
Account,Konto,
Account Number,Broj računa,
Account Number {0} already used in account {1},Broj računa {0} već se koristi na nalogu {1},
Account Pay Only,Račun plaćaju samo,
Account Type,Vrsta konta,
Account Type for {0} must be {1},Tip naloga za {0} mora biti {1},
"Account balance already in Credit, you are not allowed to set 'Balance Must Be' as 'Debit'","Stanje računa već u kredit, što se ne smije postaviti 'ravnoteža se mora' kao 'zaduženje """,
"Account balance already in Debit, you are not allowed to set 'Balance Must Be' as 'Credit'","Stanje računa već u zaduženje, ne smiju postaviti 'ravnoteža se mora' kao 'kreditne'",
Account number for account {0} is not available.<br> Please setup your Chart of Accounts correctly.,Broj računa za račun {0} nije dostupan. <br> Molimo pravilno podesite svoj račun.,
Account with child nodes cannot be converted to ledger,Konto sa pod-kontima se ne može pretvoriti u glavnoj knjizi,
Account with child nodes cannot be set as ledger,Račun s djetetom čvorovi se ne može postaviti kao glavnu knjigu,
Account with existing transaction can not be converted to group.,Konto sa postojećim transakcijama se ne može pretvoriti u grupu konta .,
Account with existing transaction can not be deleted,Konto sa postojećim transakcijama se ne može izbrisati,
Account with existing transaction cannot be converted to ledger,Konto sa postojećim transakcijama se ne može pretvoriti u glavnu knjigu,
Account {0} does not belong to company: {1},Konto {0} ne pripada preduzeću {1},
Account {0} does not belongs to company {1},Računa {0} ne pripada kompaniji {1},
Account {0} does not exist,Konto {0} ne postoji,
Account {0} does not exists,Račun {0} ne postoji,
Account {0} does not match with Company {1} in Mode of Account: {2},Računa {0} ne odgovara Company {1} u režimu računa: {2},
Account {0} has been entered multiple times,Račun {0} je ušao više puta,
Account {0} is added in the child company {1},Račun {0} se dodaje u nadređenoj kompaniji {1},
Account {0} is frozen,Konto {0} je zamrznut,
Account {0} is invalid. Account Currency must be {1},Račun {0} je nevažeća. Račun valuta mora biti {1},
Account {0}: Parent account {1} can not be a ledger,Konto {0}: Nadređeni konto {1} Ne može biti knjiga,
Account {0}: Parent account {1} does not belong to company: {2},Konto {0}: Nadređeni konto {1} ne pripada preduzeću: {2},
Account {0}: Parent account {1} does not exist,Konto {0}: Nadređeni konto {1} ne postoji,
Account {0}: You can not assign itself as parent account,Konto {0}: Ne može se označiti kao nadređeni konto samom sebi,
Account: {0} can only be updated via Stock Transactions,Račun: {0} može ažurirati samo preko Stock Transakcije,
Account: {0} with currency: {1} can not be selected,Račun: {0} s valutnom: {1} se ne mogu odabrati,
Accountant,Računovođa,
Accounting,Računovodstvo,
Accounting Entry for Asset,Računovodstveni unos za imovinu,
Accounting Entry for Stock,Računovodstvo Entry za Stock,
Accounting Entry for {0}: {1} can only be made in currency: {2},Knjiženju za {0}: {1} može se vršiti samo u valuti: {2},
Accounting Ledger,Računovodstvo Ledger,
Accounting journal entries.,Računovodstvene stavke,
Accounts,Konta,
Accounts Manager,Računi Manager,
Accounts Payable,Naplativa konta,
Accounts Payable Summary,Računi se plaćaju Sažetak,
Accounts Receivable,Konto potraživanja,
Accounts Receivable Summary,Potraživanja Pregled,
Accounts User,Računi korisnika,
Accounts table cannot be blank.,Računi stol ne može biti prazan.,
Accrual Journal Entry for salaries from {0} to {1},Unos teksta na obračun za plate od {0} do {1},
Accumulated Depreciation,Akumuliranu amortizaciju,
Accumulated Depreciation Amount,Ispravka vrijednosti iznos,
Accumulated Depreciation as on,Ispravka vrijednosti kao na,
Accumulated Monthly,akumulirani Mjesečno,
Accumulated Values,akumulirani Vrijednosti,
Accumulated Values in Group Company,Akumulirane vrijednosti u grupnoj kompaniji,
Achieved ({}),Postignuto ({}),
Action,Akcija,
Action Initialised,Akcija inicijalizirana,
Actions,Akcije,
Active,Aktivan,
Activity Cost exists for Employee {0} against Activity Type - {1},Aktivnost troškova postoji za zaposlenog {0} protiv Aktivnost Tip - {1},
Activity Cost per Employee,Aktivnost Trošak po zaposlenom,
Activity Type,Tip aktivnosti,
Actual Cost,Stvarni trošak,
Actual Delivery Date,Stvarni datum isporuke,
Actual Qty,Stvarna kol,
Actual Qty is mandatory,Stvarni Qty je obavezno,
Actual Qty {0} / Waiting Qty {1},Stvarni Količina {0} / Waiting Količina {1},
Actual Qty: Quantity available in the warehouse.,Stvarna kol: količina dostupna na skladištu.,
Actual qty in stock,Stvarne Količina na lageru,
Actual type tax cannot be included in Item rate in row {0},Stvarni tip porez ne može biti uključen u stopu stavka u nizu {0},
Add,Dodaj,
Add / Edit Prices,Dodaj / uredi cijene,
Add Comment,Dodaj komentar,
Add Customers,Dodaj Kupci,
Add Employees,Dodaj zaposlenog,
Add Item,Dodaj stavku,
Add Items,Dodaj Predmeti,
Add Leads,Add Leads,
Add Multiple Tasks,Dodajte više zadataka,
Add Row,Dodaj Row,
Add Sales Partners,Dodajte partnera za prodaju,
Add Serial No,Dodaj serijski broj,
Add Students,Dodaj Studenti,
Add Suppliers,Dodajte dobavljače,
Add Time Slots,Dodajte vremenske utore,
Add Timesheets,Dodaj Timesheets,
Add Timeslots,Dodaj Timeslots,
Add Users to Marketplace,Dodajte korisnike na Marketplace,
Add a new address,Dodajte novu adresu,
Add cards or custom sections on homepage,Dodajte kartice ili prilagođene odjeljke na početnu stranicu,
Add more items or open full form,Dodaj više stavki ili otvoreni punu formu,
Add notes,Dodajte beleške,
Add the rest of your organization as your users. You can also add invite Customers to your portal by adding them from Contacts,Dodajte ostatak organizacije kao korisnika. Također možete dodati pozvati kupce da vaš portal dodavanjem iz kontakata,
Add to Details,Dodaj u Detalji,
Add/Remove Recipients,Dodaj / ukloni primaoce,
Added,Dodano,
Added to details,Dodato na detalje,
Added {0} users,Dodao je {0} korisnike,
Additional Salary Component Exists.,Postoje dodatne komponente plaće.,
Address,Adresa,
Address Line 2,Adresa - linija 2,
Address Name,Adresa ime,
Address Title,Naziv adrese,
Address Type,Tip adrese,
Administrative Expenses,Administrativni troškovi,
Administrative Officer,Administrativni službenik,
Administrator,Administrator,
Admission,upis,
Admission and Enrollment,Upis i upis,
Admissions for {0},Priznanja za {0},
Admit,Priznati,
Admitted,Prihvaćen,
Advance Amount,Iznos avansa,
Advance Payments,Avansna plaćanja,
Advance account currency should be same as company currency {0},Advance valuta valute mora biti ista kao valuta kompanije {0},
Advance amount cannot be greater than {0} {1},iznos Advance ne može biti veći od {0} {1},
Advertising,Oglašavanje,
Aerospace,Zračno-kosmički prostor,
Against,Protiv,
Against Account,Protiv računa,
Against Journal Entry {0} does not have any unmatched {1} entry,Protiv Journal Entry {0} nema premca {1} unos,
Against Journal Entry {0} is already adjusted against some other voucher,Protiv Journal Entry {0} je već prilagođen protiv nekih drugih vaučer,
Against Supplier Invoice {0} dated {1},Protiv Dobavljač fakture {0} od {1},
Against Voucher,Protiv Voucheru,
