"""Customer Provided Item"" cannot be Purchase Item also",„Предметот обезбеден од клиент“ не може да биде и Ставка за купување,
"""Customer Provided Item"" cannot have Valuation Rate",„Предметот обезбеден од клиент“ не може да има стапка на проценка,
"""Is Fixed Asset"" cannot be unchecked, as Asset record exists against the item","""Дали е фиксни средства"" не може да е немаркирано , како што постои евиденција на средствата во однос на ставките",
'Based On' and 'Group By' can not be same,&quot;Врз основа на&quot; и &quot;група Со&quot; не може да биде ист,
'Days Since Last Order' must be greater than or equal to zero,&quot;Дена од денот на Ред&quot; мора да биде поголем или еднаков на нула,
'Entries' cannot be empty,"""Записи"" не може да биде празно",
'From Date' is required,&quot;Од датум &#39;е потребен,
'From Date' must be after 'To Date',"""Од датум"" мора да биде по ""до датум""",
'Has Serial No' can not be 'Yes' for non-stock item,"""Серискиот број"" не може да биде ""Да"" за не-складишни ставки",
'Opening',&#39;Отворање&#39;,
'To Case No.' cannot be less than 'From Case No.',&quot;Да Случај бр &#39; не може да биде помал од &quot;Од Случај бр &#39;,
'To Date' is required,"""до датум 'е потребено",
'Total',„Вкупно“,
'Update Stock' can not be checked because items are not delivered via {0},"""Ажурирај складиште 'не може да се провери, бидејќи ставките не се доставуваат преку {0}",
'Update Stock' cannot be checked for fixed asset sale,&quot;Ажурирање Акции&quot; не може да се провери за фиксни продажба на средства,
1 exact match.,1 точен натпревар.,
90-Above,Над 90-,
A Customer Group exists with same name please change the Customer name or rename the Customer Group,"Веќе има Група на клиенти со истото име, Ве молиме сменете го Името на клиентот или преименувајте ја Групата на клиенти",
A Default Service Level Agreement already exists.,Веќе постои Договорен договор за ниво на услуга.,
A Lead requires either a person's name or an organization's name,Водачот бара или име на една личност или име на организација,
A customer with the same name already exists,Потрошувач со исто име веќе постои,
A question must have more than one options,Прашањето мора да има повеќе од една опција,
A qustion must have at least one correct options,Договорот мора да има барем една точна опција,
A4,А4,
API Endpoint,Крајна точка на API,
API Key,API клуч,
Abbr can not be blank or space,Abbr не може да биде празно или простор,
Abbreviation already used for another company,Кратенка веќе се користи за друга компанија,
Abbreviation cannot have more than 5 characters,Кратенка не може да има повеќе од 5 знаци,
Abbreviation is mandatory,Кратенка задолжително,
About the Company,За компанијата,
About your company,За вашата компанија,
Above,Над,
Academic Term,академски мандат,
Academic Term: ,Академски термин:,
Academic Year,Академска година,
Academic Year: ,Академска година:,
Accepted + Rejected Qty must be equal to Received quantity for Item {0},Прифатени + Отфрлени Количина мора да биде еднаков Доби количество за Точка {0},
Access Token,Пристап знак,
Accessable Value,Достапна вредност,
Account,Сметка,
Account Number,Број на сметка,
Account Number {0} already used in account {1},Број на сметката {0} веќе се користи на сметка {1},
Account Pay Only,Сметка плаќаат само,
Account Type,Тип на сметка,
Account Type for {0} must be {1},Тип на сметка за {0} мора да биде {1},
"Account balance already in Credit, you are not allowed to set 'Balance Must Be' as 'Debit'","Баланс на сметка веќе во кредит, не Ви е дозволено да се постави рамнотежа мора да биде &quot;како&quot; дебитни &quot;",
"Account balance already in Debit, you are not allowed to set 'Balance Must Be' as 'Credit'","Баланс на сметка веќе во Дебитна, не Ви е дозволено да се постави рамнотежа мора да биде &quot;како&quot; кредит &quot;",
Account number for account {0} is not available.<br> Please setup your Chart of Accounts correctly.,Бројот на сметката за сметката {0} не е достапен. <br> Те молам правилно поставете го сметковниот план.,
Account with child nodes cannot be converted to ledger,Сметка со дете јазли не можат да се конвертираат во Леџер,
Account with child nodes cannot be set as ledger,Сметка со дете јазли не можат да се постават како Леџер,
Account with existing transaction can not be converted to group.,Сметка со постојните трансакцијата не може да се конвертира во групата.,
Account with existing transaction can not be deleted,Сметка со постоечките трансакцијата не може да се избришат,
Account with existing transaction cannot be converted to ledger,Сметка со постоечките трансакцијата не може да се конвертира Леџер,
Account {0} does not belong to company: {1},На сметка {0} не му припаѓа на компанијата: {1},
Account {0} does not belongs to company {1},На сметка {0} не припаѓа на компанијата {1},
Account {0} does not exist,На сметка {0} не постои,
Account {0} does not exists,На сметка {0} не постои,
Account {0} does not match with Company {1} in Mode of Account: {2},Сметка {0} не се поклопува со компанијата {1} во режим на сметка: {2},
Account {0} has been entered multiple times,Сметка {0} е внесен повеќе пати,
Account {0} is added in the child company {1},Во детската компанија се додава сметка {0} {1},
Account {0} is frozen,На сметка {0} е замрзнат,
Account {0} is invalid. Account Currency must be {1},Сметка {0} не е валиден. Валута сметка мора да биде {1},
Account {0}: Parent account {1} can not be a ledger,На сметка {0}: Родител на сметка {1} не може да биде Леџер,
Account {0}: Parent account {1} does not belong to company: {2},На сметка {0}: Родител на сметка {1} не припаѓа на компанијата: {2},
Account {0}: Parent account {1} does not exist,На сметка {0}: Родител на сметка {1} не постои,
Account {0}: You can not assign itself as parent account,На сметка {0}: Вие не може да се додели како родител сметка,
Account: {0} can only be updated via Stock Transactions,Сметка: {0} можат да се ажурираат само преку акции трансакции,
Account: {0} with currency: {1} can not be selected,Сметка: {0} со валутна: не може да се одбрани {1},
Accountant,Сметководител,
Accounting,Сметководство,
Accounting Entry for Asset,Сметководствен влез за средства,
Accounting Entry for Stock,Сметководство за влез на берза,
Accounting Entry for {0}: {1} can only be made in currency: {2},Сметководство за влез на {0}: {1} може да се направи само во валута: {2},
Accounting Ledger,Сметководство Леџер,
Accounting journal entries.,Сметководствени записи во дневникот.,
Accounts,Сметки,
Accounts Manager,Менаџер сметки,
Accounts Payable,Сметки се плаќаат,
Accounts Payable Summary,Сметки се плаќаат Резиме,
Accounts Receivable,Побарувања,
Accounts Receivable Summary,Побарувања Резиме,
Accounts User,Кориснички сметки,
Accounts table cannot be blank.,Табела со сметки не може да биде празно.,
Accumulated Depreciation,Акумулираната амортизација,
Accumulated Depreciation Amount,Акумулирана амортизација Износ,
Accumulated Depreciation as on,"Акумулираната амортизација, како на",
Accumulated Monthly,Акумулирана Месечни,
Accumulated Values,Акумулирана вредности,
Accumulated Values in Group Company,Акумулирани вредности во Групацијата,
Achieved ({}),Постигне ({}),
Action,Акција,
Action Initialised,Иницијализирана акција,
Actions,Активности,
Active,Активен,
Activity Cost exists for Employee {0} against Activity Type - {1},Постои цена активност за вработените {0} од тип активност - {1},
Activity Cost per Employee,Трошоци активност по вработен,
Activity Type,Тип на активност,
Actual Cost,Вистинска цена,
Actual Delivery Date,Датум на испорака,
Actual Qty,Крај на Количина,
Actual Qty is mandatory,Крај Количина е задолжително,
Actual Qty {0} / Waiting Qty {1},Старт Количина {0} / чекање Количина {1},
Actual Qty: Quantity available in the warehouse.,Крајна количина: Количина достапна во магацин.,
Actual qty in stock,Крај на количество на залиха,
Actual type tax cannot be included in Item rate in row {0},даноците не може да бидат содржани во ставките во ред {0},
Add,Додавање,
Add / Edit Prices,Додај / Уреди цени,
Add Comment,Додај коментар,
Add Customers,Додади Клиентите,
Add Employees,Додај вработени,
Add Item,Додај ставка,
Add Items,Додај ставки,
Add Leads,Додај води,
Add Multiple Tasks,Додај повеќе задачи,
Add Sales Partners,Додај партнери за продажба,
Add Serial No,Додади Сериски Не,
Add Students,Додај Студентите,
Add Suppliers,Додај добавувачи,
Add Time Slots,Додади временски слотови,
Add Timesheets,Додади Timesheets,
Add Timeslots,Додај Timeslots,
Add Users to Marketplace,Додај корисници на пазар,
Add a new address,Додадете нова адреса,
Add cards or custom sections on homepage,Додајте картички или прилагодени делови на почетната страница,
Add more items or open full form,Додај повеќе ставки или отвори образец,
Add notes,Додадете белешки,
Add the rest of your organization as your users. You can also add invite Customers to your portal by adding them from Contacts,"Додадете го остатокот од вашата организација, како на вашите корисници. Можете исто така да ги покани на клиентите да вашиот портал со додавање на нив од Contacts",
Add/Remove Recipients,Додадете / отстраните примачи,
Added,Додадено,
Added {0} users,Додадено е {0} корисници,
Additional Salary Component Exists.,Постои дополнителна компонента на плата.,
Address,Адреса,
