"""Customer Provided Item"" cannot be Purchase Item also",&quot;Item Fornecido pelo Cliente&quot; não pode ser Item de Compra também,
"""Customer Provided Item"" cannot have Valuation Rate",&quot;Item Fornecido pelo Cliente&quot; não pode ter Taxa de Avaliação,
"""Is Fixed Asset"" cannot be unchecked, as Asset record exists against the item","""É um Ativo Imobilizado"" não pode ser desmarcado, pois existe um registo de ativos desse item",
'Based On' and 'Group By' can not be same,'Baseado em' e 'Agrupado por' não podem ser iguais,
'Days Since Last Order' must be greater than or equal to zero,"Os ""Dias Desde o Último Pedido"" devem ser superiores ou iguais a zero",
'Entries' cannot be empty,"As ""Entradas"" não podem estar vazias",
'From Date' is required,"É necessário colocar a ""Data De""",
'From Date' must be after 'To Date',"A ""Data De"" deve ser depois da ""Data Para""",
'Has Serial No' can not be 'Yes' for non-stock item,"""Tem um Nr. de Série"" não pode ser ""Sim"" para um item sem gestão de stock",
'Opening','Abertura',
'To Case No.' cannot be less than 'From Case No.',"O ""Nr. de Processo A"" não pode ser inferior ao ""Nr. de Processo De""",
'To Date' is required,"É necessária colocar a ""Data A""",
'Total','Total',
'Update Stock' can not be checked because items are not delivered via {0},"""Atualizar Stock' não pode ser ativado porque os itens não são entregues através de {0}",
'Update Stock' cannot be checked for fixed asset sale,"""Atualizar Stock"" não pode ser ativado para a venda de ativos imobilizado",
1 exact match.,1 correspondência exata.,
90-Above,Acima-de-90,
A Customer Group exists with same name please change the Customer name or rename the Customer Group,"Já existe um Grupo de Clientes com o mesmo nome, por favor altere o nome do Cliente ou do Grupo de Clientes",
A Default Service Level Agreement already exists.,Um contrato de nível de serviço padrão já existe.,
A Lead requires either a person's name or an organization's name,Um lead requer o nome de uma pessoa ou o nome de uma organização,
A customer with the same name already exists,Um cliente com o mesmo nome já existe,
A question must have more than one options,Uma pergunta deve ter mais de uma opção,
A qustion must have at least one correct options,Uma questão deve ter pelo menos uma opção correta,
A4,A4,
API Endpoint,Ponto final da API,
API Key,Key API,
Abbr can not be blank or space,A Abr. não pode estar em branco ou conter espaços em branco,
Abbreviation already used for another company,Esta abreviatura já foi utilizada para outra empresa,
Abbreviation cannot have more than 5 characters,A abreviatura não pode ter mais de 5 caracteres,
Abbreviation is mandatory,É obrigatório colocar uma abreviatura,
About the Company,Sobre a empresa,
About your company,Sobre a sua empresa,
Above,Acima,
Academic Term,Período Letivo,
Academic Term: ,Período Acadêmico:,
Academic Year,Ano Letivo,
Academic Year: ,Ano acadêmico:,
Accepted + Rejected Qty must be equal to Received quantity for Item {0},A Qtd Aceite + Rejeitada deve ser igual à quantidade Recebida pelo Item {0},
Access Token,Símbolo de Acesso,
Accessable Value,Valor Acessível,
Account,Conta,
Account Number,Número da conta,
Account Number {0} already used in account {1},Número de conta {0} já utilizado na conta {1},
Account Pay Only,Só Conta de Pagamento,
Account Type,tipo de conta,
Account Type for {0} must be {1},O Tipo de Conta para {0} deverá ser {1},
"Account balance already in Credit, you are not allowed to set 'Balance Must Be' as 'Debit'","O Saldo da conta já está em Crédito, não tem permissão para definir ""Saldo Deve Ser"" como ""Débito""",
"Account balance already in Debit, you are not allowed to set 'Balance Must Be' as 'Credit'","O saldo da conta já está em débito, não tem permissão para definir o ""Saldo Deve Ser"" como ""Crédito""",
