"""Customer Provided Item"" cannot be Purchase Item also","""Στοιχείο που παρέχεται από τον πελάτη"" δεν μπορεί να είναι  επίσης στοιχείο αγοράς",
"""Customer Provided Item"" cannot have Valuation Rate","Το ""Στοιχείο που παρέχεται από πελάτη"" δεν μπορεί να έχει Τιμή εκτίμησης",
"""Is Fixed Asset"" cannot be unchecked, as Asset record exists against the item","""Είναι πάγιο περιουσιακό στοιχείο"" δεν μπορεί να από επιλεχθεί επειδή έχει καταχωρημένες έγγραφες",
'Based On' and 'Group By' can not be same,Τα πεδία με βάση και ομαδοποίηση κατά δεν μπορεί να είναι ίδια,
'Days Since Last Order' must be greater than or equal to zero,Οι 'ημέρες από την τελευταία παραγγελία' πρέπει να είναι περισσότερες από 0,
'Entries' cannot be empty,Οι καταχωρήσεις δεν μπορεί να είναι κενές,
'From Date' is required,"To πεδίο ""από ημερομηνία"" είναι απαραίτητο.",
'From Date' must be after 'To Date',"Το πεδίο ""Από Ημερομηνία"" πρέπει να είναι μεταγενέστερο από το πεδίο ""Έως Ημερομηνία""",
'Has Serial No' can not be 'Yes' for non-stock item,"Το πεδίο ""Έχει Σειριακό Αριθμό"" δεν μπορεί να είναι ""Ναι"" για μη αποθηκεύσιμα είδη.",
'Opening',«Άνοιγμα»,
'To Case No.' cannot be less than 'From Case No.',Το πεδίο έως αριθμό υπόθεσης δεν μπορεί να είναι μικρότερο του πεδίου από αριθμό υπόθεσης,
'To Date' is required,Το πεδίο 'έως ημερομηνία' είναι απαραίτητο.,
'Total',&#39;Σύνολο&#39;,
'Update Stock' can not be checked because items are not delivered via {0},Η ενημέρωση της αποθήκης  δεν μπορεί να επιλεγεί επειδή τα στοιχεία δεν παραδίδονται μέσω {0},
'Update Stock' cannot be checked for fixed asset sale,«Ενημέρωση Χρηματιστήριο» δεν μπορεί να ελεγχθεί για σταθερή την πώληση περιουσιακών στοιχείων,
) for {0},) για {0},
1 exact match.,1 ακριβής αντιστοίχιση.,
90-Above,90-Παραπάνω,
A Customer Group exists with same name please change the Customer name or rename the Customer Group,Μια ομάδα πελατών υπάρχει με το ίδιο όνομα παρακαλώ να αλλάξετε το όνομα του πελάτη ή να μετονομάσετε την ομάδα πελατών,
A Default Service Level Agreement already exists.,Υπάρχει ήδη συμβατική συμφωνία επιπέδου υπηρεσιών.,
A Lead requires either a person's name or an organization's name,Ο μόλυβδος απαιτεί το όνομα ενός ατόμου ή το όνομα ενός οργανισμού,
A customer with the same name already exists,Ένας πελάτης με το ίδιο όνομα υπάρχει ήδη,
A question must have more than one options,Μια ερώτηση πρέπει να έχει περισσότερες από μία επιλογές,
A qustion must have at least one correct options,Μια λύση πρέπει να έχει τουλάχιστον μία σωστή επιλογή,
A {0} exists between {1} and {2} (,A {0} υπάρχει μεταξύ {1} και {2} (,
Abbr can not be blank or space,Συντ δεν μπορεί να είναι κενό ή χώρος,
