"""Customer Provided Item"" cannot be Purchase Item also",&quot;ສິນຄ້າທີ່ສະ ໜອງ ໃຫ້ລູກຄ້າ&quot; ກໍ່ບໍ່ສາມາດຊື້ສິນຄ້າໄດ້ເຊັ່ນກັນ,
"""Customer Provided Item"" cannot have Valuation Rate",&quot;ສິນຄ້າທີ່ໃຫ້ກັບລູກຄ້າ&quot; ບໍ່ສາມາດມີອັດຕາການປະເມີນມູນຄ່າໄດ້,
"""Is Fixed Asset"" cannot be unchecked, as Asset record exists against the item","&quot;ແມ່ນຊັບສິນຄົງທີ່&quot; ບໍ່ສາມາດຈະມີການກວດກາ, ເປັນການບັນທຶກຊັບສິນລາຄາຕໍ່ລາຍການ",
'Based On' and 'Group By' can not be same,&#39;ອ້າງອິງກ່ຽວກັບ&#39; ແລະ &#39;Group ໂດຍ&#39; ບໍ່ສາມາດຈະເປັນຄືກັນ,
'Days Since Last Order' must be greater than or equal to zero,&#39;ມື້ນີ້ນັບຕັ້ງແຕ່ສັ່ງຫຼ້າສຸດຕ້ອງໄດ້ຫຼາຍກ່ວາຫຼືເທົ່າກັບສູນ,
'Entries' cannot be empty,&#39;ການອອກສຽງ&#39; ບໍ່ສາມາດປ່ອຍຫວ່າງ,
'From Date' is required,&#39;ຈາກວັນທີ່ສະຫມັກແມ່ນຈໍາເປັນເພື່ອ,
'From Date' must be after 'To Date',&#39;ຈາກວັນທີ່ສະຫມັກ&#39; ຈະຕ້ອງຫລັງຈາກທີ່ໄປວັນ &#39;,
'Has Serial No' can not be 'Yes' for non-stock item,&#39;ມີບໍ່ມີ Serial&#39; ບໍ່ສາມາດຈະ &quot;ແມ່ນ&quot; ລາຍການຫຼັກຊັບບໍ່,
'Opening',&quot;ເປີດ &#39;,
'To Case No.' cannot be less than 'From Case No.',&#39;ໃນກໍລະນີສະບັບເລກທີ ບໍ່ສາມາດຈະຫນ້ອຍກ່ວາ &#39;ຈາກກໍລະນີສະບັບເລກທີ,
'To Date' is required,&#39;ເຖິງວັນທີ່ແມ່ນຈໍາເປັນເພື່ອ,
'Total',&#39;ທັງຫມົດ&#39;,
